ObjNummer;Name;Bereich
NE106;Les Goudebas;B
NE107;La Fabrique;B
NE107;La Fabrique;A
NE108;Pointe du Grain;A
NE115;Vauroux;A
NE115;Vauroux;B
NE159;Combacervey;A
NE159;Combacervey;B
NE163;Bois du Devens;A
NE163;Bois du Devens;B
NW59;Gnappiried;B
NW59;Gnappiried;A
NW61;Vierwaldstättersee Hüttenort;A
NW61;Vierwaldstättersee Hüttenort;B
NW62;Stansstader Ried/Rotzloch;B
NW62;Stansstader Ried/Rotzloch;A
NW69;Chrotteseeli Obbürgen;B
NW69;Chrotteseeli Obbürgen;A
OW1;Schlierenrüti, Reservat Sarna;B
OW1;Schlierenrüti, Reservat Sarna;A
OW35;Glaubenbielen Ribihütte;B
OW35;Glaubenbielen Ribihütte;A
OW45;Mörlisee;A
OW45;Mörlisee;B
OW47;Jänzimatt;A
OW63;Usser Allmend;A
OW63;Usser Allmend;B
OW78;Gerzensee, Blindseeli;A
OW78;Gerzensee, Blindseeli;B
OW109;Lungerer See Nordende;A
OW109;Lungerer See Nordende;B
OW123;Hanenriet;B
OW123;Hanenriet;A
OW127;Sachsler Seefeld;B
OW127;Sachsler Seefeld;A
OW167;Sewenseeli;A
OW201;Ritzenmattseeli;B
OW201;Ritzenmattseeli;A
OW204;Obermatteggweiher;A
OW204;Obermatteggweiher;B
OW213;Melbach;A
OW213;Melbach;B
SG9;Bildweiher;A
SG9;Bildweiher;B
SG20;Wenigerweiher;A
SG20;Wenigerweiher;B
SG21;Ochsenweid;A
SG27;Ziegelei Bruggwald;A
SG30;Huebermoos;B
SG30;Huebermoos;A
SG33;Kiesgrube Schuppis;A
SG42;Goldachtobel;A
SG59;Schlossweiher;A
SG59;Schlossweiher;B
SG70;Höchstern;A
SG94;Moosanger;A
SG94;Moosanger;B
SG103;Bisen;A
SG110;Eselschwanz;B
SG110;Eselschwanz;A
SG113;Bodenseeriet, Altenrhein;A
SG118;Fuchsloch-Buriet;B
SG118;Fuchsloch-Buriet;A
SG140;Banriet/Burst;A
SG140;Banriet/Burst;B
SG170;Alte Lehmgrube Hilpert;A
SG170;Alte Lehmgrube Hilpert;B
SG177;Wichenstein;B
SG177;Wichenstein;A
SG179;Spitzmäder;A
SG179;Spitzmäder;B
SG190;Au Büchel;B
SG190;Au Büchel;A
SG201;Wiesenfurt;A
SG201;Wiesenfurt;B
SG205;Retentionsbecken Ceres Rhein-Au;B
SG205;Retentionsbecken Ceres Rhein-Au;A
SG236;Burstried, Galgenmad;A
SG236;Burstried, Galgenmad;B
SG248;Egelsee bei Bad Forstegg;A
SG248;Egelsee bei Bad Forstegg;B
SG342;Kiessammler Vilters;A
SG342;Kiessammler Vilters;B
SG344;Kiesgrube Feerbach;A
SG365;Baggerseen im Staffelriet;B
SG365;Baggerseen im Staffelriet;A
SG367;Mösli;A
SG367;Mösli;B
SG374;Kaltbrunnerriet;B
SG374;Kaltbrunnerriet;A
SG384;St. Sebastian;A
SG384;St. Sebastian;B
SG396;Siessenweiher;A
SG396;Siessenweiher;B
SG398;Briggisweiher N Auenhof;A
SG398;Briggisweiher N Auenhof;B
SG399;Joner Allmeind;B
SG399;Joner Allmeind;A
SG405;Allmeind;A
SG496;Zuckenmattweiher;A
SG496;Zuckenmattweiher;B
SG506;Turpenriet;B
SG506;Turpenriet;A
SG515;Magdenau;B
SG515;Magdenau;A
SG525;Glatttal;A
SG552;Bettenauerweier;B
SG552;Bettenauerweier;A
SG554;Gill-Henau Reservat;B
SG554;Gill-Henau Reservat;A
SG561;Hasenlooweiher;B
SG561;Hasenlooweiher;A
SG563;Huserfelsen, Himmelbleichi;B
SG563;Huserfelsen, Himmelbleichi;A
SG566;Kiesgrube Landguet;A
SG566;Kiesgrube Landguet;B
SG574;Ehemalige Kiesgrube Au;A
SG587;Riet Zuzwil;A
SG587;Riet Zuzwil;B
SG598;Arniger Witi;A
SG600;Espel;A
SG603;Waffenplatz Breitfeld;A
SG603;Waffenplatz Breitfeld;B
SG614;Weiher NE Hohfirst;B
SG614;Weiher NE Hohfirst;A
SG617;School;A
SG618;Kiesgrube Hori;A
SG618;Kiesgrube Hori;B
SH21;Morgetshofsee;B
SH21;Morgetshofsee;A
SH31;Bohnerzgruben Färberwiesli;B
SH31;Bohnerzgruben Färberwiesli;A
SH43;Eschheimer Weiher;A
SH43;Eschheimer Weiher;B
SH69;Lehmlöcher Rüti;A
SH70;Lehmlöcher Dicki;A
SH401;Feuchtgebiet Widen;A
SH1501;Bachtelli/Seeli;B
SH1501;Bachtelli/Seeli;A
SH1901;Rohrenbüeli-Stritholz;B
SH1901;Rohrenbüeli-Stritholz;A
SH3201;Bohnerzgruben Chäferhölzli;A
SH3201;Bohnerzgruben Chäferhölzli;B
SH3902;Moos-Buck Herblingen;B
SH3902;Moos-Buck Herblingen;A
SH3933;Spitzwisen;A
SH3933;Spitzwisen;B
SH6203;Alte Biberschleife;A
SH6203;Alte Biberschleife;B
SH6301;Ried/Lehmgrueb Hofenacker;A
SH6301;Ried/Lehmgrueb Hofenacker;B
SH6401;Egelsee Degerfeld Wagenhausen;A
SH6401;Egelsee Degerfeld Wagenhausen;B
SH7101;Weiher Lochgraben;B
SH7101;Weiher Lochgraben;A
SO6;Ägertengrube;A
SO11;Chli Aarli;A
SO11;Chli Aarli;B
SO44;Tümpel Stierenberg;A
SO44;Tümpel Stierenberg;B
SO63;Baslerweier;B
SO63;Baslerweier;A
SO65;Tümpel untere Erli;A
SO65;Tümpel untere Erli;B
SO69;Obergösger Schachen;A
SO83;Erlenmoos, Haag;A
SO84;Biedermannsgrube;B
SO84;Biedermannsgrube;A
SO96;Riedbrunnmatt;B
SO96;Riedbrunnmatt;A
SO117;Sumpfwiese Neuhüsli;A
SO117;Sumpfwiese Neuhüsli;B
SO137;Höchweidli;B
SO137;Höchweidli;A
SO143;Lobiseiweiher;A
SO143;Lobiseiweiher;B
SO177;Grenchner Witi;B
SO177;Grenchner Witi;A
SZ2;Breitried/Schützenried;A
SZ3;Oberer Sihlsee Euthal;B
SZ3;Oberer Sihlsee Euthal;A
SZ4;Sihlsee S Schönbächli;A
SZ4;Sihlsee S Schönbächli;B
SZ5;Sihlsee Steinbach (Lukasrank);A
SZ5;Sihlsee Steinbach (Lukasrank);B
SZ7;Klosterweiher;B
SZ7;Klosterweiher;A
SZ10;Trachslauerweiher;B
SZ10;Trachslauerweiher;A
SZ30;Schindellegi;A
SZ30;Schindellegi;B
SZ34;Dreiwässern;B
SZ34;Dreiwässern;A
SZ60;Reumeren;A
SZ60;Reumeren;B
SZ68;Sägel, Schutt, Lauerzersee;A
SZ72;Grosswijer;B
SZ72;Grosswijer;A
SZ77;Klosterried Ingenbohl;B
SZ77;Klosterried Ingenbohl;A
SZ131;Hinter Ibach;A
SZ131;Hinter Ibach;B
SZ138;Aazopf;A
SZ152;Bätzimatt;A
SZ152;Bätzimatt;B
SZ171;Pfaffenhaut;B
SZ171;Pfaffenhaut;A
SZ179;Lauenen;A
SZ179;Lauenen;B
SZ180;Golfplatz Nuolen;A
SZ180;Golfplatz Nuolen;B
TG7;Kiesgrube Atzenholz;A
TG34;Biessenhofer Weiher;A
TG40;Hudelmoos;A
TG49;Hauptwiler Weiher;A
TG49;Hauptwiler Weiher;B
TG62;Kiesgrube Freudenberg;A
TG69;Langstuden Befang;A
TG72;Wiimoos;A
TG82;Sürch;A
TG89;Schaarenwies/Schaarenwald;B
TG89;Schaarenwies/Schaarenwald;A
TG93;Bächli-Gishalde;B
TG93;Bächli-Gishalde;A
TG94;Riet;A
TG104;Luggeseeli;A
TG116;Baggersee Chasperäcker;A
TG117;Ägelsee;A
TG127;Allmend;A
TG165;Mösliweiher;A
TG165;Mösliweiher;B
TG166;Müliweier;A
TG166;Müliweier;B
TG170;Barchetsee;A
TG177;Kiesgrube Bärg;A
TG179;Grüt-Bietenhart-Wolfsbüel;A
TG197;Kiesweiher Weidacker;A
TG197;Kiesweiher Weidacker;B
TG200;Googlete;A
TG213;Bommer Weiher;A
TG231;Espen Riet;A
TG231;Espen Riet;B
TG242;Lengwiler Weiher;A
TG244;Seeburg;B
TG244;Seeburg;A
TG261;Seerhein Chuehorn-Paradies;A
TG264;Kiesgrube Wolfsbüel;A
TG276;Bichelsee;B
TG276;Bichelsee;A
TG294;Lommiser Riet;A
TG316;Ägelsee;A
TG316;Ägelsee;B
TG349;Grütriet;A
TG367;Kiesgruben Neuhus-Bälisteig;A
TG386;Bächler;A
TG387;Grube Trubeschloo;A
TG388;Hüttwiler Seen;B
TG388;Hüttwiler Seen;A
TG413;Schoren Riet;A
TG413;Schoren Riet;B
TG424;Ägelsee;A
TG425;Grube Gündelhart;A
TG429;Wolfsgrueb;A
TG429;Wolfsgrueb;B
TG432;Waldriet Grosswis;A
TG438;Heeristobel;A
TG438;Heeristobel;B
TG440;Etzwilerriet;A
TG443;Reservat Schule Kaltenbach;A
TG462;Grube Moos N Weerswilen;A
TG466;Sangen-Mülifang;B
TG466;Sangen-Mülifang;A
TG472;Lehmgrube Opfershofen;A
TG488;Kiesgrube Schürliwiesen;A
TG494;Pflanzgarten Tätsch;A
TG498;Güttingersrüti;A
TG506;Weierwies;B
TG506;Weierwies;A
TG507;Aue N Aachmündung;A
TG508;Stockrüti;A
TG509;Kiesgrube Buech;A
TG537;Kiesgrube Wiel;A
TI2;Laghetto d'Orbello;A
TI5;Ciossa Antognini;A
TI5;Ciossa Antognini;B
TI8;Vigna lunga-Trebbione;A
TI8;Vigna lunga-Trebbione;B
TI10;Stagno di Progero;A
TI10;Stagno di Progero;B
TI12;Malcantone;A
TI12;Malcantone;B
TI16;Isola Sgraver;B
TI16;Isola Sgraver;A
TI19;Stagno Motto della Costa;A
TI19;Stagno Motto della Costa;B
TI21;Canale Demanio;B
TI21;Canale Demanio;A
TI34;Bolla di Loderio;A
TI114;Cassina di Lago;A
TI127;Belladrum;B
TI127;Belladrum;A
TI139;Pescicoltura Golino;A
TI147;Lanche Al Pizzante;A
TI147;Lanche Al Pizzante;B
TI152;Bolle di Magadino;A
TI152;Bolle di Magadino;B
TI153;Barbescio-Bolletina Lunga;A
TI158;Piano di Arbigo;A
TI158;Piano di Arbigo;B
TI161;Bolle di Mondrigo;A
TI171;Stagno Paron;A
TI171;Stagno Paron;B
TI190;Stagno Figino-Cásoro;A
TI190;Stagno Figino-Cásoro;B
TI193;Cava Rivaccia;A
TI195;Stagno Agra;B
TI195;Stagno Agra;A
TI199;Gola di Lago;B
TI199;Gola di Lago;A
TI200;Laghetto;A
TI201;Lago di Lugano a Cantonetto;A
TI201;Lago di Lugano a Cantonetto;B
TI202;Cava Gere Croglio;A
TI209;Ressiga;A
TI211;Bosco Agnuzzo;A
TI211;Bosco Agnuzzo;B
TI212;Palude San Giorgio;A
TI212;Palude San Giorgio;B
TI215;Lago d'Origlio;A
TI223;Pozza a est di Motto;B
TI223;Pozza a est di Motto;A
TI228;Bolle di S. Martino;A
TI228;Bolle di S. Martino;B
TI232;Stagno Avra;A
TI233;Pozza Bosco Penz;A
TI234;Stagni Campagna Seseglio;B
TI234;Stagni Campagna Seseglio;A
TI236;Pozza Moreggi Pedrinate;A
TI238;Stagno Pra Vicc;A
TI238;Stagno Pra Vicc;B
TI239;Prato Grande;A
TI241;Stagno Roggio;A
TI243;Pra Coltello;B
TI243;Pra Coltello;A
TI250;Meandri del Laveggio e Colombera;A
TI250;Meandri del Laveggio e Colombera;B
TI252;Cava Boschi;A
TI258;Lanche di Iragna;B
TI258;Lanche di Iragna;A
TI263;Stagno Campi Grandi;B
TI263;Stagno Campi Grandi;A
TI284;Laghetto Pianca;A
TI285;Lago di Masnee;A
TI306;Scairolo Vecchio;A
TI308;Pian Gallina;A
TI323;Lanca Saligin;A
TI323;Lanca Saligin;B
TI333;Campi Grandi;A
TI334;Pozza Monzell;A
TI335;Cava Motto Grande;A
TI336;Valle della Motta;A
TI336;Valle della Motta;B
TI337;Basciocca (ovest);B
TI337;Basciocca (ovest);A
TI339;Stagni San Giorgio;A
TI343;Stagno Guana;A
TI345;Gole della Breggia;A
TI347;Pre Murin;B
TI347;Pre Murin;A
TI352;Valle della Motta/Ai Prati;A
TI362;Rompiga;A
TI373;Santa Maria;B
TI373;Santa Maria;A
TI375;Delta della Maggia;A
TI376;Vigna;A
TI376;Vigna;B
TI378;Torrazza-Pra Signora;B
TI378;Torrazza-Pra Signora;A
TI379;Dosso dell'Ora-Dosso Bello;A
TI379;Dosso dell'Ora-Dosso Bello;B
TI387;Canton del Marcio;A
TI387;Canton del Marcio;B
TI464;Ca del Boscat;A
UR59;Bi den Seelenen;A
UR59;Bi den Seelenen;B
UR76;Schlossried;A
UR77;Reussdelta;A
UR104;Alpler See;A
UR106;Bodenwald;A
UR106;Bodenwald;B
VD6;Grand Marais;B
VD6;Grand Marais;A
VD21;Les Grangettes;A
VD21;Les Grangettes;B
VD67;Les Mossières;A
VD67;Les Mossières;B
VD69;Borire, Corjon;A
VD69;Borire, Corjon;B
VD78;Les Monod;B
VD78;Les Monod;A
VD89;La Grève (Chabrey);A
VD90;Les Grèves (Cudrefin);A
VD93;Lac Coffy, Bois Ramel;B
VD93;Lac Coffy, Bois Ramel;A
VD100;Etang de Vigny;B
VD100;Etang de Vigny;A
VD101;Etang du Sépey;B
VD101;Etang du Sépey;A
VD124;Bois de Vaux;A
VD124;Bois de Vaux;B
VD133;Etang du Buron, Les Bioles;B
VD133;Etang du Buron, Les Bioles;A
VD140;Etang de la Scie;B
VD140;Etang de la Scie;A
VD142;Corcelettes;B
VD142;Corcelettes;A
VD145;La Combaz, L'Abbaye;A
VD145;La Combaz, L'Abbaye;B
VD171;Bois Pourri;A
VD171;Bois Pourri;B
VD177;Arborex;B
VD177;Arborex;A
VD213;Les Bidonnes;B
VD213;Les Bidonnes;A
VD224;Bois de Porte, Les Dailles;A
VD224;Bois de Porte, Les Dailles;B
VD225;Grand Bataillard, Marais de la Versoix;B
VD225;Grand Bataillard, Marais de la Versoix;A
VD229;Bois de Chênes, Lac Vert;A
VD229;Bois de Chênes, Lac Vert;B
VD232;Ballastière;A
VD232;Ballastière;B
VD244;Bois de Ban;A
VD244;Bois de Ban;B
VD251;Bioute, Etang d'Arnex;B
VD251;Bioute, Etang d'Arnex;A
VD253;Entremur;A
VD253;Entremur;B
VD265;Pré Bernard, Creux-de-Terre;B
VD265;Pré Bernard, Creux-de-Terre;A
VD274;Vy des Buissons, Creux du Lavoir;B
VD274;Vy des Buissons, Creux du Lavoir;A
VD275;Planches de Sergey, Chassagne;A
VD275;Planches de Sergey, Chassagne;B
VD286;Les Mosses de la Rogivue;A
VD286;Les Mosses de la Rogivue;B
VD290;Les Grèves (Chevroux);A
VD292;Prés de Rosex;A
VD292;Prés de Rosex;B
VD299;Vernez-de-Chaux, La Coula;A
VD299;Vernez-de-Chaux, La Coula;B
VD300;Ancienne Broye;B
VD300;Ancienne Broye;A
VD357;Bendes;B
VD357;Bendes;A
VD362;Les Echelettes, La Léchère;A
VD362;Les Echelettes, La Léchère;B
VD366;Champ Pittet, Châble Perron;A
VD374;Les Vernes;A
VD374;Les Vernes;B
VD375;Les Grèves (Yvonand);A
VD377;Le Moulin;A
VD377;Le Moulin;B
VD379;Le Gottau;B
VD379;Le Gottau;A
VD381;Le Vursis;B
VD381;Le Vursis;A
VD463;Canal de la Tuilière;A
VD463;Canal de la Tuilière;B
VS26;Pfyn West;B
VS26;Pfyn West;A
VS28;Pfyn Ost, Rosensee;A
VS50;Canal de Ceinture;B
VS50;Canal de Ceinture;A
VS66;Poutafontana;A
VS75;Le Rosel;A
VS75;Le Rosel;B
VS120;Châtelet;A
VS120;Châtelet;B
VS121;Grand-Blettay;B
VS121;Grand-Blettay;A
VS136;Lac de Tanay;B
VS136;Lac de Tanay;A
VS142;Montagne de l'Au;A
VS142;Montagne de l'Au;B
VS269;Lac de Mont d'Orge;B
VS269;Lac de Mont d'Orge;A
VS349;Bonigersee;B
VS349;Bonigersee;A
VS417;Bettmeralp;A
VS417;Bettmeralp;B
VS427;Chiebodenstafel;A
VS427;Chiebodenstafel;B
VS432;Lüsga;A
VS432;Lüsga;B
VS476;Le Malévoz;B
VS476;Le Malévoz;A
VS477;Fontaine de la Combe;B
VS477;Fontaine de la Combe;A
ZG12;Rüss-Spitz;B
ZG12;Rüss-Spitz;A
ZG43;Binzmüli;A
ZG43;Binzmüli;B
ZG46;Steinhauser Weiher;B
ZG46;Steinhauser Weiher;A
ZH1;Eselacherried;B
ZH1;Eselacherried;A
ZH2;Ried beim Scheibenstand;B
ZH2;Ried beim Scheibenstand;A
ZH11;Mülliweiher, Weiher am Rossweg;A
ZH11;Mülliweiher, Weiher am Rossweg;B
ZH16;Türlersee NW-Ufer;A
ZH33;Kiesgrube Büelhüsli;A
ZH33;Kiesgrube Büelhüsli;B
ZH34;Hätteliweiher Oberholz;B
ZH34;Hätteliweiher Oberholz;A
ZH38;Erlenhofweiher;A
ZH38;Erlenhofweiher;B
ZH47;Bachenbülacher Allmend/Waffenplatz;B
ZH47;Bachenbülacher Allmend/Waffenplatz;A
ZH53;Mülichrammweiher;A
ZH53;Mülichrammweiher;B
ZH71;Feuerweiher am Homberg;B
ZH71;Feuerweiher am Homberg;A
ZH72;Kiesgrube SW Runsberg;B
ZH72;Kiesgrube SW Runsberg;A
ZH76;Gruben Hard und Gubel;B
ZH76;Gruben Hard und Gubel;A
ZH101;Kiesgrube Egghau;B
ZH101;Kiesgrube Egghau;A
ZH110;Weiher und Grube bei Ribacher;B
ZH110;Weiher und Grube bei Ribacher;A
ZH144;Waldweiher im Oberholz/Iffertsmoos;A
ZH144;Waldweiher im Oberholz/Iffertsmoos;B
ZH148;Gurisee;B
ZH148;Gurisee;A
ZH162;Längerenweiher;B
ZH162;Längerenweiher;A
ZH201;Kiesgrube Garwid;A
ZH201;Kiesgrube Garwid;B
ZH264;Hungerseeli;B
ZH264;Hungerseeli;A
ZH284;Altwässer Thurspitz;B
ZH284;Altwässer Thurspitz;A
ZH289;Kiesgrube Buchbrunnen;A
ZH289;Kiesgrube Buchbrunnen;B
ZH294;Präuselen;A
ZH294;Präuselen;B
ZH295;Kiesgruben Ebnet;A
ZH295;Kiesgruben Ebnet;B
ZH310;Seewadel;A
ZH310;Seewadel;B
ZH322;Isert Weiher;B
ZH322;Isert Weiher;A
ZH342;Kiesgrube Eggholz;B
ZH342;Kiesgrube Eggholz;A
ZH352;Kiesgrube Ebertswil;A
ZH352;Kiesgrube Ebertswil;B
ZH358;Weiher Fromoos (Gerhauweiher);B
ZH358;Weiher Fromoos (Gerhauweiher);A
ZH367;Mittelfeld-Kiesgrube;A
ZH367;Mittelfeld-Kiesgrube;B
ZH403;Kiesgrube Hasel;B
ZH403;Kiesgrube Hasel;A
ZH444;Örmis;B
ZH444;Örmis;A
ZH450;Ried Schlimberg/Vogelholz;A
ZH450;Ried Schlimberg/Vogelholz;B
ZH458;Laichgebiet Bogen-Mesikon-Brand;A
ZH458;Laichgebiet Bogen-Mesikon-Brand;B
ZH468;Ried südl. Uerzlikon;B
ZH468;Ried südl. Uerzlikon;A
ZH469;Alter Torfstich im Hagenholz;A
ZH469;Alter Torfstich im Hagenholz;B
ZH476;Räubrichseen;B
ZH476;Räubrichseen;A
ZH485;Mördersee und Pfaffensee;A
ZH485;Mördersee und Pfaffensee;B
ZH487;Enteler-Weiher;A
ZH487;Enteler-Weiher;B
ZH496;Waldried Homberg;A
ZH496;Waldried Homberg;B
ZH502;Eigental, Pantliried;B
ZH502;Eigental, Pantliried;A
ZH506;Lehmgrube beim Gwerfihölzli;A
ZH506;Lehmgrube beim Gwerfihölzli;B
ZH533;Seewadelgrab;B
ZH533;Seewadelgrab;A
ZH548;Elliker Auen;A
ZH548;Elliker Auen;B
ZH555;Grischei;A
ZH555;Grischei;B
ZH558;Kiesgrube Hinterfeld;A
ZH560;Biotop Süessplätz;A
ZH560;Biotop Süessplätz;B
ZH577;Schützenweiher;B
ZH577;Schützenweiher;A
ZH603;Biotop bei NOK Breite;B
ZH603;Biotop bei NOK Breite;A
ZH616;Glattaltlaufgebiet Schlosswinkel-Peterli-Solachten;B
ZH616;Glattaltlaufgebiet Schlosswinkel-Peterli-Solachten;A
ZH628;Kiesgrube Härdli;A
ZH629;Raffoltersee;A
ZH629;Raffoltersee;B
ZH638;Laichgebiet Lorzespitz;B
ZH638;Laichgebiet Lorzespitz;A
ZH641;Leiloch-Weiher;A
ZH680;Ried Gmeimatt;B
ZH680;Ried Gmeimatt;A
ZH682;Kiesgrube Mülibach;A
ZH682;Kiesgrube Mülibach;B
ZH694;Weiher bei Hermatswil;A
ZH694;Weiher bei Hermatswil;B
ZH714;Chatzensee, Chräenriet;B
ZH714;Chatzensee, Chräenriet;A
ZH726;Kiesgrube Rhinauer Feld und Oberboden;A
ZH732;Kiesgrube Ebnet;A
ZH732;Kiesgrube Ebnet;B
ZH752;Russiker Ried;A
ZH752;Russiker Ried;B
ZH833;Weiher Gütighausen;A
ZH833;Weiher Gütighausen;B
ZH849;Truttiker Ried;B
ZH849;Truttiker Ried;A
ZH860;Seewädeli;A
ZH860;Seewädeli;B
ZH868;Torfstiche im Seewadel;A
ZH868;Torfstiche im Seewadel;B
ZH870;Werriker-/Glattenried;A
ZH870;Werriker-/Glattenried;B
ZH872;Hoperenried;B
ZH872;Hoperenried;A
ZH877;Grube Seefeld und Stopperweiher;A
ZH877;Grube Seefeld und Stopperweiher;B
ZH881;Grabenriet;A
ZH881;Grabenriet;B
ZH887;Kiesgrube Im Türli;B
ZH887;Kiesgrube Im Türli;A
ZH896;Chrutzelried, Heidenried;B
ZH896;Chrutzelried, Heidenried;A
ZH899;Kiesgrube Kindhausen (Blutzwies);A
ZH899;Kiesgrube Kindhausen (Blutzwies);B
ZH944;Wollwisli;A
ZH944;Wollwisli;B
ZH946;Weiher Lochrüti;A
ZH946;Weiher Lochrüti;B
ZH953;Kiesgrube Rüteren;A
ZH953;Kiesgrube Rüteren;B
ZH973;Robenhauserried;A
ZH975;Ambitzgi-/Bönlerried;B
ZH975;Ambitzgi-/Bönlerried;A
ZH995;Kiesgrube Rosengarten;A
ZH1004;Totentäli;A
ZH1004;Totentäli;B
ZH1013;Weiher Häsental;A
ZH1013;Weiher Häsental;B
ZH1015;Weiertal;A
ZH1015;Weiertal;B
ZH1017;Lehmgrube Dättnau;A
ZH1037;Hänsiried;B
ZH1037;Hänsiried;A
ZH1205;Weiher Stigenhof;B
ZH1205;Weiher Stigenhof;A
ZH1210;Kiesgrube Goldbach;A
ZH1210;Kiesgrube Goldbach;B
ZH1211;Sandlochgrube Chomberg;A
ZH1211;Sandlochgrube Chomberg;B
ZH1212;Amphibienbiotope Allmend III;A
ZH1212;Amphibienbiotope Allmend III;B
ZH1213;Tüfi-Weiher;A
ZH1213;Tüfi-Weiher;B
ZH1214;Linggisee;B
ZH1214;Linggisee;A
ZH1252;Alte Oelerdeponie/Munimatt;A
ZH1252;Alte Oelerdeponie/Munimatt;B
ZH1285;Weiher N Lorzespitz;A
ZH1285;Weiher N Lorzespitz;B
ZH1286;Bruni;A
ZH1286;Bruni;B
