Gemeindename;Gesamtfläche in km²
Aeugst am Albis;7.9
Affoltern am Albis;10.5
Bonstetten;7.4
Hausen am Albis;13.6
Hedingen;6.6
Kappel am Albis;7.8
Knonau;6.5
Maschwanden;4.7
Mettmenstetten;13.1
Obfelden;7.6
Ottenbach;5.0
Rifferswil;6.6
Stallikon;12.0
Wettswil am Albis;3.8
Adlikon;6.6
Benken (ZH);5.7
Berg am Irchel;7.0
Buch am Irchel;10.2
Dachsen;2.7
Dorf;5.5
Feuerthalen;2.5
Flaach;10.2
Flurlingen;2.4
Andelfingen;6.7
Henggart;3.0
Humlikon;3.7
Kleinandelfingen;10.3
Laufen-Uhwiesen;6.3
Marthalen;14.2
Ossingen;13.1
Rheinau;8.9
Thalheim an der Thur;6.5
Trüllikon;9.6
Truttikon;4.4
Volken;3.3
Bachenbülach;4.3
Bassersdorf;9.0
Bülach;16.1
Dietlikon;4.2
Eglisau;9.1
Embrach;12.7
Freienstein-Teufen;8.3
Glattfelden;12.3
Hochfelden;6.2
Höri;4.8
Hüntwangen;4.9
Kloten;19.3
Lufingen;5.2
Nürensdorf;10.1
Oberembrach;10.2
Opfikon;5.6
Rafz;10.7
Rorbas;4.5
Wallisellen;6.5
Wasterkingen;3.9
Wil (ZH);9.0
Winkel;8.1
Bachs;9.2
Boppelsen;3.9
Buchs (ZH);5.9
Dällikon;4.5
Dänikon;2.8
Dielsdorf;5.9
Hüttikon;1.6
Neerach;6.0
Niederglatt;3.6
Niederhasli;11.3
Niederweningen;6.9
Oberglatt;8.3
Oberweningen;4.9
Otelfingen;7.2
Regensberg;2.4
Regensdorf;14.6
Rümlang;12.4
Schleinikon;5.7
Schöfflisdorf;4.0
Stadel;12.9
Steinmaur;9.5
Weiach;9.6
Bäretswil;22.2
Bubikon;11.6
Dürnten;10.2
Fischenthal;30.2
Gossau (ZH);18.3
Grüningen;8.8
Hinwil;22.3
Rüti (ZH);10.1
Seegräben;3.8
Wald (ZH);25.3
Wetzikon (ZH);16.7
Adliswil;7.8
Kilchberg (ZH);2.6
Langnau am Albis;8.7
Oberrieden;2.8
Richterswil;7.5
Rüschlikon;2.9
Thalwil;5.5
Erlenbach (ZH);3.0
Herrliberg;9.0
Hombrechtikon;12.2
Küsnacht (ZH);12.3
Männedorf;4.8
Meilen;11.9
Oetwil am See;6.1
Stäfa;8.6
Uetikon am See;3.5
Zumikon;5.5
Zollikon;7.9
Fehraltorf;9.5
Hittnau;13.0
Lindau;11.9
Pfäffikon;19.5
Russikon;14.3
Weisslingen;12.8
Wila;9.4
Wildberg;10.5
Dübendorf;13.6
Egg;14.5
Fällanden;6.4
Greifensee;2.3
Maur;14.8
Mönchaltorf;7.6
Schwerzenbach;2.6
Uster;28.5
Volketswil;14.0
Wangen-Brüttisellen;7.9
Altikon;7.7
Brütten;6.7
Dägerlen;8.0
Dättlikon;2.9
Dinhard;7.1
Ellikon an der Thur;5.0
Elsau;8.0
Hagenbuch;8.2
Hettlingen;5.8
Neftenbach;15.1
Pfungen;5.0
Rickenbach (ZH);6.1
Schlatt (ZH);9.0
Seuzach;7.6
Turbenthal;25.1
Winterthur;68.1
Zell (ZH);13.0
Aesch (ZH);5.2
Birmensdorf (ZH);11.4
Dietikon;9.3
Geroldswil;1.9
Oberengstringen;2.1
Oetwil an der Limmat;2.8
Schlieren;6.5
Uitikon;4.4
Unterengstringen;3.4
Urdorf;7.6
Weiningen (ZH);5.4
Zürich;87.9
Stammheim;24.0
Wädenswil;35.6
Elgg;24.4
Horgen;30.8
Illnau-Effretikon;32.9
Bauma;29.5
Wiesendangen;19.1
Aarberg;7.9
Bargen (BE);7.9
Grossaffoltern;15.1
Kallnach;18.0
Kappelen;10.9
Lyss;14.9
Meikirch;10.2
Radelfingen;14.7
Rapperswil (BE);22.6
Schüpfen;19.9
Seedorf (BE);20.9
Aarwangen;9.9
Auswil;4.6
Bannwil;4.7
Bleienbach;5.7
Busswil bei Melchnau;2.9
Gondiswil;9.4
Langenthal;17.2
Lotzwil;6.2
Madiswil;23.2
Melchnau;10.4
Obersteckholz;3.9
Oeschenbach;3.9
Reisiswil;2.0
Roggwil (BE);7.8
Rohrbach;4.1
Rohrbachgraben;6.5
Rütschelen;4.0
Schwarzhäusern;3.8
Thunstetten;9.7
Ursenbach;9.2
Wynau;5.1
Bern;51.6
Bolligen;16.6
Bremgarten bei Bern;1.9
Kirchlindach;11.9
Köniz;51.1
Muri bei Bern;7.6
Oberbalm;12.3
Stettlen;3.5
Vechigen;24.9
Wohlen bei Bern;36.3
Zollikofen;5.4
Ittigen;4.2
Ostermundigen;6.0
Biel/Bienne;21.2
Evilard;3.7
Arch;6.4
Büetigen;3.6
Büren an der Aare;12.6
Diessbach bei Büren;6.3
Dotzigen;4.2
Lengnau (BE);7.4
Leuzigen;10.3
Meienried;0.7
Meinisberg;4.4
Oberwil bei Büren;6.8
Pieterlen;8.4
Rüti bei Büren;6.5
Wengi;7.1
Aefligen;2.1
Alchenstorf;6.6
Bäriswil;2.8
Burgdorf;15.6
Ersigen;15.5
Hasle bei Burgdorf;21.9
Heimiswil;23.3
Hellsau;1.5
Hindelbank;6.8
Höchstetten;2.6
Kernenried;3.3
Kirchberg (BE);9.0
Koppigen;6.9
Krauchthal;19.4
Lyssach;6.0
Mötschwil;2.9
Oberburg;14.1
Rüdtligen-Alchenflüh;2.7
Rumendingen;2.5
Rüti bei Lyssach;1.3
Willadingen;2.2
Wynigen;28.3
Corgémont;17.7
Cormoret;13.5
Cortébert;14.8
Courtelary;22.1
La Ferrière;14.2
Mont-Tramelan;4.7
Orvin;21.6
Renan (BE);12.6
Romont (BE);6.9
Saint-Imier;20.8
Sonceboz-Sombeval;14.9
Sonvilier;23.8
Tramelan;24.8
Villeret;16.3
Sauge;13.5
Péry-La Heutte;23.8
Brüttelen;6.6
Erlach;3.4
Finsterhennen;3.6
Gals;7.9
Gampelen;10.6
Ins;23.9
Lüscherz;5.4
Müntschemier;4.9
Siselen;5.5
Treiten;4.7
Tschugg;3.3
Vinelz;4.6
Bätterkinden;10.1
Deisswil bei Münchenbuchsee;2.1
Diemerswil;2.8
Fraubrunnen;32.0
Jegenstorf;13.5
Iffwil;5.1
Mattstetten;3.8
Moosseedorf;6.4
Münchenbuchsee;8.8
Urtenen-Schönbühl;7.2
Utzenstorf;17.0
Wiggiswil;1.5
Wiler bei Utzenstorf;3.8
Zielebach;1.9
Zuzwil (BE);3.5
Adelboden;87.6
Aeschi bei Spiez;30.9
Frutigen;72.3
Kandergrund;32.1
Kandersteg;134.4
Krattigen;6.0
Reichenbach im Kandertal;125.8
Beatenberg;29.2
Bönigen;15.1
Brienz (BE);48.1
Brienzwiler;17.6
Därligen;6.9
Grindelwald;171.3
Gsteigwiler;7.0
Gündlischwand;16.8
Habkern;51.0
Hofstetten bei Brienz;8.7
Interlaken;4.3
Iseltwald;21.9
Lauterbrunnen;164.2
Leissigen;10.4
Lütschental;12.3
Matten bei Interlaken;6.0
Niederried bei Interlaken;4.3
Oberried am Brienzersee;20.2
Ringgenberg (BE);8.7
Saxeten;19.1
Schwanden bei Brienz;7.0
Unterseen;14.0
Wilderswil;13.5
Arni (BE);10.4
Biglen;3.6
Bowil;14.7
Brenzikofen;2.2
Freimettigen;3.0
Grosshöchstetten;7.0
Häutligen;3.1
Herbligen;2.7
Kiesen;4.7
Konolfingen;12.7
Landiswil;10.3
Linden;13.3
Mirchel;2.4
Münsingen;15.8
Niederhünigen;5.4
Oberdiessbach;16.5
Oberthal;10.6
Oppligen;3.4
Rubigen;6.9
Walkringen;17.2
Worb;21.1
Zäziwil;5.4
Oberhünigen;6.0
Allmendingen;3.8
Wichtrach;11.6
Clavaleyres;1.0
Ferenbalm;9.2
Frauenkappelen;9.3
Gurbrü;1.9
Kriechenwil;4.8
Laupen;4.1
Mühleberg;26.3
Münchenwiler;2.5
Neuenegg;21.9
Wileroltigen;4.1
Belprahon;3.8
Champoz;7.2
Corcelles (BE);6.8
Court;24.6
Crémines;9.5
Eschert;6.6
Grandval;8.2
Loveresse;4.7
Moutier;19.7
Perrefitte;8.6
Reconvilier;8.2
Roches (BE);9.0
Saicourt;13.8
Saules (BE);4.3
Schelten;5.5
Seehof;8.4
Sorvilier;6.9
Tavannes;14.8
Rebévelier;3.5
Petit-Val;23.8
Valbirse;18.7
La Neuveville;6.8
Nods;26.6
Plateau de Diesse;25.6
Aegerten;2.2
Bellmund;3.8
Brügg;5.0
Bühl;3.0
Epsach;3.4
Hagneck;1.9
Hermrigen;3.5
Jens;4.6
Ipsach;1.9
Ligerz;1.8
Merzligen;2.3
Mörigen;2.2
Nidau;1.5
Orpund;3.9
Port;2.4
Safnern;5.6
Scheuren;2.1
Schwadernau;4.1
Studen (BE);2.8
Sutz-Lattrigen;3.6
Täuffelen;4.3
Walperswil;7.0
Worben;2.7
Twann-Tüscherz;12.3
Därstetten;32.9
Diemtigen;130.0
Erlenbach im Simmental;36.7
Oberwil im Simmental;45.9
Reutigen;11.3
Spiez;16.7
Wimmis;22.3
Stocken-Höfen;14.2
Guttannen;200.8
Hasliberg;41.8
Innertkirchen;236.5
Meiringen;40.7
Schattenhalb;31.6
Boltigen;77.1
Lenk;123.0
St. Stephan;60.9
Zweisimmen;73.1
Gsteig;62.4
Lauenen;58.5
Saanen;120.1
Guggisberg;55.0
Rüschegg;57.3
Schwarzenburg;44.9
Belp;23.3
Burgistein;7.5
Gerzensee;7.8
Gurzelen;4.5
Jaberg;1.3
Kaufdorf;2.1
Kehrsatz;4.5
Kirchdorf (BE);14.7
Kirchenthurnen;1.2
Lohnstorf;1.8
Mühlethurnen;2.9
Niedermuhlern;7.2
Riggisberg;29.9
Rüeggisberg;35.8
Rümligen;4.7
Seftigen;3.9
Toffen;4.9
Uttigen;3.8
Wattenwil;14.5
Wald (BE);13.3
Eggiwil;60.3
Langnau im Emmental;48.4
Lauperswil;21.2
Röthenbach im Emmental;36.8
Rüderswil;17.2
Schangnau;36.5
Signau;22.2
Trub;62.0
Trubschachen;15.7
Amsoldingen;4.7
Blumenstein;15.5
Buchholterberg;15.3
Eriz;21.8
Fahrni;6.7
Heiligenschwendi;5.5
Heimberg;5.4
Hilterfingen;2.8
Homberg;6.5
Horrenbach-Buchen;20.4
Oberhofen am Thunersee;2.8
Oberlangenegg;9.1
Pohlern;9.9
Schwendibach;1.5
Sigriswil;55.3
Steffisburg;13.4
Teuffenthal (BE);4.6
Thierachern;7.5
Thun;21.6
Uebeschi;4.4
Uetendorf;10.2
Unterlangenegg;6.8
Wachseldorn;3.5
Zwieselberg;2.4
Forst-Längenbühl;4.5
Affoltern im Emmental;11.4
Dürrenroth;14.1
Eriswil;11.3
Huttwil;17.3
Lützelflüh;26.9
Rüegsau;15.0
Sumiswald;59.4
Trachselwald;16.0
Walterswil (BE);7.9
Wyssachen;11.7
Attiswil;7.7
Berken;1.4
Bettenhausen;4.0
Farnern;3.7
Graben;3.2
Heimenhausen;5.8
Herzogenbuchsee;9.8
Inkwil;3.4
Niederbipp;17.4
Niederönz;2.8
Oberbipp;8.5
Ochlenberg;12.1
Rumisberg;5.1
Seeberg;16.9
Thörigen;4.6
Walliswil bei Niederbipp;1.5
Walliswil bei Wangen;3.1
Wangen an der Aare;5.2
Wangenried;2.9
Wiedlisbach;7.5
Wolfisberg;2.5
Doppleschwand;7.0
Entlebuch;57.0
Flühli;108.1
Hasle (LU);40.3
Romoos;37.4
Schüpfheim;38.4
Werthenstein;15.7
Escholzmatt-Marbach;106.3
Aesch (LU);4.6
Altwis;2.9
Ballwil;8.8
Emmen;20.4
Ermensee;5.7
Eschenbach (LU);13.2
Hitzkirch;24.6
Hochdorf;9.6
Hohenrain;23.3
Inwil;10.3
Rain;9.4
Römerswil;16.7
Rothenburg;15.5
Schongau;12.4
Adligenswil;7.0
Buchrain;4.8
Dierikon;2.8
Ebikon;9.7
Gisikon;1.1
Greppen;3.3
Honau;1.2
Horw;12.9
Kriens;27.3
Luzern;29.1
Malters;28.6
Meggen;7.3
Meierskappel;6.8
Root;8.7
Schwarzenberg;39.3
Udligenswil;6.2
Vitznau;8.9
Weggis;11.8
Beromünster;42.2
Büron;5.4
Buttisholz;16.7
Eich;5.9
Geuensee;6.4
Grosswangen;19.7
Hildisrieden;7.0
Knutwil;9.7
Mauensee;7.2
Neuenkirch;25.5
Nottwil;10.3
Oberkirch;9.1
Rickenbach (LU);11.8
Ruswil;45.3
Schenkon;6.8
Schlierbach;7.2
Sempach;8.9
Sursee;5.8
Triengen;22.1
Wolhusen;14.3
Alberswil;3.6
Altbüron;6.7
Altishofen;5.7
Dagmersellen;23.9
Ebersecken;8.6
Egolzwil;4.2
Ettiswil;12.5
Fischbach;8.0
Gettnau;6.1
Grossdietwil;10.2
Hergiswil bei Willisau;31.3
Luthern;37.8
Menznau;30.4
Nebikon;3.7
Pfaffnau;17.7
Reiden;27.0
Roggliswil;6.2
Schötz;15.3
Ufhusen;12.2
Wauwil;2.9
Wikon;8.3
Zell (LU);13.9
Willisau;41.2
Altdorf (UR);10.2
Andermatt;62.2
Attinghausen;46.9
Bauen;3.8
Bürglen (UR);53.1
Erstfeld;59.1
Flüelen;12.4
Göschenen;104.1
Gurtnellen;83.4
Hospental;35.1
Isenthal;61.0
Realp;77.8
Schattdorf;16.3
Seedorf (UR);15.5
Seelisberg;13.2
Silenen;144.8
Sisikon;16.4
Spiringen;64.7
Unterschächen;80.2
Wassen;96.9
Einsiedeln;99.0
Gersau;14.4
Feusisberg;17.5
Freienbach;13.8
Wollerau;6.4
Küssnacht (SZ);29.5
Altendorf;20.5
Galgenen;13.2
Innerthal;50.2
Lachen;2.4
Reichenburg;11.5
Schübelbach;29.0
Tuggen;13.6
Vorderthal;28.0
Wangen (SZ);8.4
Alpthal;22.9
Arth;42.0
Illgau;11.0
Ingenbohl;13.4
Lauerz;9.2
Morschach;20.9
Muotathal;172.2
Oberiberg;33.2
Riemenstalden;11.2
Rothenthurm;22.8
Sattel;17.4
Schwyz;53.1
Steinen;11.8
Steinerberg;7.0
Unteriberg;46.5
Alpnach;53.8
Engelberg;74.9
Giswil;85.9
Kerns;92.6
Lungern;46.5
Sachseln;53.9
Sarnen;73.2
Beckenried;24.3
Buochs;9.9
Dallenwil;15.5
Emmetten;25.0
Ennetbürgen;9.4
Ennetmoos;14.1
Hergiswil (NW);14.3
Oberdorf (NW);16.1
Stans;11.1
Stansstad;9.1
Wolfenschiessen;92.6
Glarus Nord;147.1
Glarus Süd;430.2
Glarus;103.6
Baar;24.8
Cham;17.8
Hünenberg;18.4
Menzingen;27.5
Neuheim;7.9
Oberägeri;30.0
Risch;14.8
Steinhausen;5.0
Unterägeri;25.7
Walchwil;13.5
Zug;21.7
Châtillon (FR);1.3
Cheiry;6.5
Cugy (FR);9.9
Fétigny;4.1
Gletterens;2.6
Lully (FR);5.4
Ménières;4.4
Montagny (FR);17.5
Nuvilly;4.0
Prévondavaux;1.8
Saint-Aubin (FR);7.9
Sévaz;2.5
Surpierre;8.3
Vallon;3.5
Les Montets;10.3
Delley-Portalban;6.9
Belmont-Broye;25.8
Estavayer;40.2
Cheyres-Châbles;9.8
Auboranges;1.9
Billens-Hennens;4.9
Chapelle (Glâne);2.0
Le Châtelard;7.5
Châtonnaye;6.3
Ecublens (FR);4.9
Grangettes;3.4
Massonnens;4.3
Mézières (FR);9.0
Montet (Glâne);2.2
Romont (FR);10.9
Rue;11.3
Siviriez;20.3
Ursy;14.8
Villaz-Saint-Pierre;5.5
Vuisternens-devant-Romont;24.0
Villorsonnens;15.5
Torny;10.2
La Folliaz;9.9
Haut-Intyamon;60.4
Pont-en-Ogoz;10.1
Botterens;4.2
Broc;10.1
Bulle;23.9
Châtel-sur-Montsalvens;2.0
Corbières;9.7
Crésuz;1.8
Echarlens;4.6
Grandvillard;24.2
Gruyères;28.5
Hauteville;10.5
Jaun;55.2
Marsens;7.8
Morlon;2.6
Le Pâquier (FR);4.5
Pont-la-Ville;4.4
Riaz;7.8
La Roche;24.0
Sâles;18.8
Sorens;8.7
Vaulruz;10.1
Vuadens;10.4
Bas-Intyamon;33.3
Val-de-Charmey;112.1
Arconciel;6.1
Autigny;6.2
Avry;5.8
Belfaux;8.9
Chénens;3.9
Corminboeuf;7.3
Corserey;3.5
Cottens (FR);5.0
Ependes (FR);5.6
Ferpicloz;1.0
Fribourg;9.3
Givisiez;3.5
Granges-Paccot;4.0
Grolley;5.4
Marly;7.7
Matran;2.9
Neyruz (FR);5.6
Noréaz;6.9
Pierrafortscha;5.1
Ponthaux;5.9
Le Mouret;18.6
Prez-vers-Noréaz;5.7
Senèdes;0.5
Treyvaux;11.4
Villars-sur-Glâne;5.5
Villarsel-sur-Marly;1.4
Hauterive (FR);11.9
La Brillaz;10.3
La Sonnaz;6.9
Gibloux;36.1
Courgevaux;3.4
Courtepin;21.9
Cressier (FR);4.2
Fräschels;3.1
Galmiz;9.0
Gempenach;1.6
Greng;1.0
Gurmels;17.3
Kerzers;12.3
Kleinbösingen;3.0
Meyriez;0.3
Misery-Courtion;11.4
Muntelier;1.1
Murten;24.7
Ried bei Kerzers;7.5
Ulmiz;2.9
Mont-Vully;17.5
Alterswil;16.2
Brünisried;3.3
Düdingen;30.8
Giffers;5.2
Bösingen;14.3
Heitenried;9.1
Plaffeien;66.6
Plasselb;18.2
Rechthalten;7.3
St. Antoni;16.8
St. Silvester;7.0
St. Ursen;15.7
Schmitten (FR);13.5
Tafers;8.4
Tentlingen;3.7
Ueberstorf;16.1
Wünnewil-Flamatt;13.3
Attalens;9.8
Bossonnens;4.1
Châtel-Saint-Denis;47.9
Granges (Veveyse);4.5
Remaufens;5.9
Saint-Martin (FR);9.8
Semsales;29.4
Le Flon;9.6
La Verrerie;13.5
Egerkingen;6.9
Härkingen;5.5
Kestenholz;8.6
Neuendorf;7.1
Niederbuchsiten;5.5
Oberbuchsiten;9.4
Oensingen;12.1
Wolfwil;6.9
Aedermannsdorf;12.9
Balsthal;15.7
Gänsbrunnen;11.4
Herbetswil;16.3
Holderbank (SO);7.8
Laupersdorf;15.6
Matzendorf;11.3
Mümliswil-Ramiswil;35.4
Welschenrohr;13.0
Biezwil;4.2
Lüterkofen-Ichertswil;4.4
Lüterswil-Gächliwil;3.1
Messen;11.9
Schnottwil;7.2
Unterramsern;1.5
Lüsslingen-Nennigkofen;7.8
Buchegg;22.7
Bättwil;1.7
Büren (SO);6.2
Dornach;5.7
Gempen;6.0
Hochwald;8.3
Hofstetten-Flüh;7.5
Metzerlen-Mariastein;8.5
Nuglar-St. Pantaleon;6.4
Rodersdorf;5.3
Seewen;16.4
Witterswil;2.6
Hauenstein-Ifenthal;5.3
Kienberg;8.6
Lostorf;13.3
Niedergösgen;4.3
Obergösgen;3.6
Rohr (SO);2.2
Stüsslingen;6.1
Trimbach;7.6
Winznau;4.0
Wisen (SO);4.8
Erlinsbach (SO);8.9
Aeschi (SO);5.4
Biberist;12.2
Bolken;2.1
Deitingen;7.6
Derendingen;5.7
Etziken;3.4
Gerlafingen;1.9
Halten;1.9
Horriwil;2.6
Hüniken;1.0
Kriegstetten;1.1
Lohn-Ammannsegg;4.5
Luterbach;4.6
Obergerlafingen;1.5
Oekingen;2.4
Recherswil;3.3
Subingen;6.2
Zuchwil;4.7
Drei Höfe;4.6
Balm bei Günsberg;5.5
Bellach;5.3
Bettlach;12.2
Feldbrunnen-St. Niklaus;2.5
Flumenthal;3.1
Grenchen;26.0
Günsberg;5.3
Hubersdorf;1.4
Kammersrohr;0.9
Langendorf;2.0
Lommiswil;5.8
Oberdorf (SO);11.9
Riedholz;7.2
Rüttenen;8.8
Selzach;19.5
Boningen;2.8
Däniken;5.5
Dulliken;6.0
Eppenberg-Wöschnau;1.8
Fulenbach;4.5
Gretzenbach;5.8
Gunzgen;3.9
Hägendorf;13.9
Kappel (SO);5.1
Olten;11.5
Rickenbach (SO);2.8
Schönenwerd;3.7
Starrkirch-Wil;1.8
Walterswil (SO);4.5
Wangen bei Olten;7.0
Solothurn;6.3
Bärschwil;11.2
Beinwil (SO);22.7
Breitenbach;6.8
Büsserach;7.5
Erschwil;7.5
Fehren;1.5
Grindel;3.1
Himmelried;6.1
Kleinlützel;16.3
Meltingen;5.8
Nunningen;10.3
Zullwil;3.7
Basel;23.9
Bettingen;2.2
Riehen;10.9
Aesch (BL);7.4
Allschwil;8.9
Arlesheim;7.0
Biel-Benken;4.1
Binningen;4.5
Birsfelden;2.6
Bottmingen;3.0
Ettingen;6.4
Münchenstein;7.2
Muttenz;16.6
Oberwil (BL);7.9
Pfeffingen;4.9
Reinach (BL);6.9
Schönenbuch;1.3
Therwil;7.7
Blauen;7.1
Brislach;9.4
Burg im Leimental;2.9
Dittingen;6.7
Duggingen;5.9
Grellingen;3.3
Laufen;11.4
Liesberg;12.5
Nenzlingen;3.7
Roggenburg;6.7
Röschenz;10.0
Wahlen;5.4
Zwingen;4.6
Arisdorf;10.0
Augst;1.6
Bubendorf;10.9
Frenkendorf;4.6
Füllinsdorf;4.6
Giebenach;1.3
Hersberg;1.7
Lausen;5.5
Liestal;18.2
Lupsingen;3.1
Pratteln;10.7
Ramlinsburg;2.3
Seltisberg;3.5
Ziefen;7.8
Anwil;3.9
Böckten;2.3
Buckten;2.0
Buus;8.9
Diepflingen;1.4
Gelterkinden;9.8
Häfelfingen;4.0
Hemmiken;3.4
Itingen;3.1
Känerkinden;1.4
Kilchberg (BL);1.6
Läufelfingen;8.1
Maisprach;5.0
Nusshof;1.7
Oltingen;7.2
Ormalingen;6.9
Rickenbach (BL);2.9
Rothenfluh;10.9
Rümlingen;2.3
Rünenberg;5.0
Sissach;8.9
Tecknau;2.4
Tenniken;4.7
Thürnen;2.3
Wenslingen;5.9
Wintersingen;7.0
Wittinsburg;3.2
Zeglingen;7.9
Zunzgen;6.9
Arboldswil;3.5
Bennwil;6.6
Bretzwil;7.4
Diegten;9.6
Eptingen;11.2
Hölstein;6.0
Lampenberg;4.0
Langenbruck;15.7
Lauwil;7.3
Liedertswil;1.9
Niederdorf;4.4
Oberdorf (BL);6.3
Reigoldswil;9.2
Titterten;3.7
Waldenburg;8.3
Gächlingen;7.2
Löhningen;6.9
Neunkirch;17.9
Büttenhardt;4.0
Dörflingen;5.8
Lohn (SH);4.9
Stetten (SH);4.7
Thayngen;20.0
Bargen (SH);8.3
Beringen;18.7
Buchberg;5.9
Merishausen;17.5
Neuhausen am Rheinfall;8.0
Rüdlingen;5.5
Schaffhausen;41.9
Beggingen;12.6
Schleitheim;21.5
Siblingen;9.4
Buch (SH);3.8
Hemishofen;7.9
Ramsen;13.5
Stein am Rhein;5.8
Hallau;15.3
Oberhallau;6.0
Trasadingen;4.1
Wilchingen;21.2
Herisau;25.2
Hundwil;24.2
Schönengrund;5.2
Schwellbrunn;17.4
Stein (AR);9.3
Urnäsch;48.1
Waldstatt;6.7
Bühler;5.6
Gais;21.2
Speicher;8.2
Teufen (AR);15.3
Trogen;10.0
Grub (AR);4.2
Heiden;7.5
Lutzenberg;2.3
Rehetobel;6.7
Reute (AR);5.0
Wald (AR);6.8
Walzenhausen;7.0
Wolfhalden;7.0
Appenzell;16.9
Gonten;24.8
Rüte;40.8
Schlatt-Haslen;17.9
Schwende;57.5
Oberegg;14.6
Häggenschwil;9.1
Muolen;10.4
St. Gallen;39.3
Wittenbach;12.2
Berg (SG);3.8
Eggersriet;8.9
Goldach;4.7
Mörschwil;9.9
Rorschach;1.8
Rorschacherberg;7.1
Steinach;4.5
Tübach;2.0
Untereggen;7.1
Au (SG);4.7
Balgach;6.6
Berneck;5.6
Diepoldsau;11.2
Rheineck;2.2
St. Margrethen;6.9
Thal;9.6
Widnau;4.2
Altstätten;39.6
Eichberg;5.5
Marbach (SG);4.4
Oberriet (SG);34.6
Rebstein;4.4
Rüthi (SG);9.3
Buchs (SG);15.9
Gams;22.3
Grabs;54.7
Sennwald;41.6
Sevelen;30.3
Wartau;41.8
Bad Ragaz;25.4
Flums;75.2
Mels;139.2
Pfäfers;128.4
