Gemeindename;Beschäftigte total
Grabs;3362
Sennwald;3803
Sevelen;2458
Wartau;1902
Bad Ragaz;3265
Flums;2496
Mels;3526
Pfäfers;1246
Quarten;1064
Sargans;3798
Vilters-Wangs;1651
Walenstadt;2220
Amden;493
Benken (SG);1145
Kaltbrunn;1704
Schänis;1403
Weesen;512
Schmerikon;1618
Uznach;3631
Rapperswil-Jona;16958
Gommiswald;1380
Eschenbach (SG);4027
Ebnat-Kappel;2191
Wildhaus-Alt St. Johann;1497
Nesslau;1869
Hemberg;344
Lichtensteig;736
Oberhelfenschwil;449
Neckertal;1505
Wattwil;4828
Kirchberg (SG);4950
Lütisburg;676
Mosnang;1115
Bütschwil-Ganterschwil;2267
Degersheim;1768
Flawil;4501
Jonschwil;1927
Oberuzwil;2187
Uzwil;6786
Niederbüren;645
Niederhelfenschwil;951
Oberbüren;2886
Zuzwil (SG);1904
Wil (SG);15120
Andwil (SG);611
Gaiserwald;2258
Gossau (SG);12959
Waldkirch;1484
Vaz/Obervaz;2646
Lantsch/Lenz;148
Schmitten (GR);65
Albula/Alvra;665
Surses;1344
Bergün Filisur;555
Brusio;815
Poschiavo;2117
Falera;173
Laax;1333
Sagogn;109
Schluein;315
Vals;656
Lumnezia;841
Ilanz/Glion;3272
Fürstenau;172
Rothenbrunnen;449
Scharans;395
Sils im Domleschg;308
Cazis;1222
Flerden;69
Masein;82
Thusis;2347
Tschappina;55
Urmein;67
Safiental;415
Domleschg;465
Avers;118
Sufers;79
Andeer;457
Casti-Wergenstein;30
Donat;128
Lohn (GR);26
Mathon;35
Rongellen;10
Zillis-Reischen;195
Ferrera;47
Rheinwald;362
Bonaduz;1608
Domat/Ems;3058
Rhäzüns;367
Felsberg;494
Flims;1732
Tamins;223
Trin;342
Zernez;805
Samnaun;1194
Scuol;3267
Valsot;398
Bever;320
Celerina/Schlarigna;1012
Madulain;80
Pontresina;1854
La Punt-Chamues-ch;238
Samedan;2866
St. Moritz;7286
S-chanf;273
Sils im Engadin/Segl;920
Silvaplana;879
Zuoz;772
Bregaglia;875
Buseno;14
Castaneda;88
Rossa;32
Santa Maria in Calanca;22
Lostallo;224
Mesocco;600
Soazza;138
Cama;259
Grono;954
Roveredo (GR);1065
San Vittore;497
Calanca;133
Val Müstair;1146
Davos;8740
Fideris;207
Furna;74
Jenaz;401
Klosters-Serneus;2293
Conters im Prättigau;70
Küblis;555
Luzein;447
Chur;32256
Churwalden;896
Arosa;2891
Maladers;101
Tschiertschen-Praden;138
Haldenstein;350
Trimmis;1181
Untervaz;682
Zizers;1186
Fläsch;192
Jenins;268
Maienfeld;1822
Malans;899
Landquart;5974
Grüsch;1165
Schiers;1449
Seewis im Prättigau;579
Breil/Brigels;699
Disentis/Mustér;1135
Medel (Lucmagn);167
Sumvitg;469
Tujetsch;616
Trun;593
Obersaxen Mundaun;592
Aarau;34418
Biberstein;320
Buchs (AG);5209
Densbüren;320
Erlinsbach (AG);961
Gränichen;2526
Hirschthal;790
Küttigen;1371
Muhen;1471
Oberentfelden;3982
Suhr;4751
Unterentfelden;2357
Baden;29342
Bellikon;696
Bergdietikon;1045
Birmenstorf (AG);1084
Ennetbaden;794
Fislisbach;1370
Freienwil;128
Gebenstorf;1777
Killwangen;688
Künten;409
Mägenwil;2725
Mellingen;1674
Neuenhof;2540
Niederrohrdorf;733
Oberrohrdorf;820
Obersiggenthal;1937
Remetschwil;523
Spreitenbach;8461
Stetten (AG);872
Turgi;943
Untersiggenthal;2726
Wettingen;8622
Wohlenschwil;329
Würenlingen;3570
Würenlos;2104
Ehrendingen;837
Arni (AG);274
Berikon;1622
Bremgarten (AG);4382
Büttikon;227
Dottikon;1170
Eggenwil;146
Fischbach-Göslikon;386
Hägglingen;876
Jonen;607
Niederwil (AG);1285
Oberlunkhofen;453
Oberwil-Lieli;457
Rudolfstetten-Friedlisberg;1008
Sarmenstorf;677
Tägerig;214
Uezwil;89
Unterlunkhofen;277
Villmergen;3806
Widen;851
Wohlen (AG);7891
Zufikon;1061
Islisberg;78
Auenstein;263
Birr;2446
Birrhard;309
Bözen;173
Brugg;8466
Effingen;229
Elfingen;70
Habsburg;76
Hausen (AG);1584
Lupfig;2331
Mandach;79
Mönthal;94
Mülligen;169
Remigen;280
Riniken;269
Rüfenach;210
Schinznach-Bad;1422
Thalheim (AG);260
Veltheim (AG);616
Villigen;1539
Villnachern;266
Windisch;4864
Bözberg;359
Schinznach;1202
Beinwil am See;933
Birrwil;269
Burg (AG);329
Dürrenäsch;820
Gontenschwil;976
Holziken;246
Leimbach (AG);120
Leutwil;199
Menziken;2041
Oberkulm;955
Reinach (AG);3621
Schlossrued;327
Schmiedrued;378
Schöftland;1722
Teufenthal (AG);346
Unterkulm;1069
Zetzwil;609
Eiken;1319
Frick;3695
Gansingen;181
Gipf-Oberfrick;794
Herznach;374
Hornussen;182
Kaisten;896
Laufenburg;2846
Münchwilen (AG);468
Oberhof;145
Oeschgen;314
Schwaderloch;230
Sisseln;1027
Ueken;147
Wittnau;229
Wölflinswil;326
Zeihen;265
Mettauertal;772
Ammerswil;76
Boniswil;222
Brunegg;547
Dintikon;1003
Egliswil;432
Fahrwangen;853
Hallwil;250
Hendschiken;435
Holderbank (AG);783
Hunzenschwil;1747
Lenzburg;9293
Meisterschwanden;1099
Möriken-Wildegg;1546
Niederlenz;1469
Othmarsingen;1362
Rupperswil;2156
Schafisheim;3805
Seengen;1212
Seon;2716
Staufen;555
Abtwil;193
Aristau;238
Auw;615
Beinwil (Freiamt);430
Besenbüren;126
Bettwil;233
Boswil;1299
Bünzen;290
Buttwil;275
Dietwil;206
Geltwil;81
Kallern;103
Merenschwand;1586
Mühlau;331
Muri (AG);5233
Oberrüti;359
Rottenschwil;166
Sins;2241
Waltenschwil;674
Hellikon;164
Kaiseraugst;5160
Magden;795
Möhlin;4042
Mumpf;228
Obermumpf;152
Olsberg;97
Rheinfelden;7904
Schupfart;185
Stein (AG);3605
Wallbach;918
Wegenstetten;213
Zeiningen;570
Zuzgen;247
Aarburg;3217
Bottenwil;155
Brittnau;692
Kirchleerau;277
Kölliken;1478
Moosleerau;372
Murgenthal;959
Oftringen;5259
Reitnau;622
Rothrist;4792
Safenwil;1650
Staffelbach;380
Strengelbach;1498
Uerkheim;374
Vordemwald;616
Wiliberg;33
Zofingen;10598
Baldingen;43
Böbikon;63
Böttstein;1614
Döttingen;2097
Endingen;757
Fisibach;113
Full-Reuenthal;171
Kaiserstuhl;87
Klingnau;1140
Koblenz;591
Leibstadt;1151
Lengnau (AG);1047
Leuggern;1164
Mellikon;133
Rekingen (AG);391
Rietheim;169
Rümikon;57
Schneisingen;340
Siglistorf;178
Tegerfelden;455
Wislikofen;157
Bad Zurzach;3149
Arbon;6191
Dozwil;247
Egnach;1957
Hefenhofen;685
Horn;1147
Kesswil;479
Roggwil (TG);1407
Romanshorn;5541
Salmsach;386
Sommeri;497
Uttwil;391
Amriswil;5936
Bischofszell;3283
Erlen;1360
Hauptwil-Gottshaus;655
Hohentannen;252
Kradolf-Schönenberg;1098
Sulgen;2279
Zihlschlacht-Sitterdorf;1251
Basadingen-Schlattingen;731
Diessenhofen;1695
Schlatt (TG);540
Aadorf;3570
Felben-Wellhausen;925
Frauenfeld;19878
Gachnang;1375
Hüttlingen;259
Matzingen;1047
Neunforn;365
Stettfurt;320
Thundorf;386
Uesslingen-Buch;416
Warth-Weiningen;595
Altnau;793
Bottighofen;894
Ermatingen;1159
Gottlieben;139
Güttingen;622
Kemmental;727
Kreuzlingen;11577
Langrickenbach;341
Lengwil;921
Münsterlingen;3064
Tägerwilen;3798
Wäldi;441
Affeltrangen;1223
Bettwiesen;270
Bichelsee-Balterswil;980
Braunau;255
Eschlikon;1701
Fischingen;1432
Lommis;460
Münchwilen (TG);2372
Rickenbach (TG);1035
Schönholzerswilen;331
Sirnach;3674
Tobel-Tägerschen;603
Wängi;1754
Wilen (TG);564
Wuppenau;411
Berlingen;353
Eschenz;579
Herdern;355
Homburg;795
Hüttwilen;717
Mammern;435
Müllheim;1130
Pfyn;683
Raperswilen;161
Salenstein;459
Steckborn;1438
Wagenhausen;356
Amlikon-Bissegg;515
Berg (TG);1713
Birwinken;353
Bürglen (TG);1490
Bussnang;2609
Märstetten;1074
Weinfelden;9071
Wigoltingen;1001
Arbedo-Castione;2686
Bellinzona;24625
Cadenazzo;1707
Isone;168
Lumino;355
Sant'Antonino;2292
Acquarossa;822
Blenio;590
Serravalle;619
Airolo;956
Bedretto;64
Bodio;446
Dalpe;39
Faido;1170
Giornico;343
Personico;115
Pollegio;278
Prato (Leventina);147
Quinto;616
Ascona;3055
Brione (Verzasca);84
Brione sopra Minusio;76
Brissago;1261
Corippo;X
Frasco;25
Gordola;1545
Lavertezzo;881
Locarno;12952
Losone;3134
Mergoscia;36
Minusio;1791
Muralto;1586
Orselina;491
Ronco sopra Ascona;139
Sonogno;42
Tenero-Contra;1194
Vogorno;44
Onsernone;242
Cugnasco-Gerra;509
Agno;2901
Aranno;30
Arogno;254
Astano;51
Bedano;1720
Bedigliora;153
Bioggio;5037
Bissone;204
Brusino Arsizio;85
Cademario;149
Cadempino;1837
Canobbio;926
Caslano;1472
Comano;971
Croglio;919
Cureglia;297
Curio;89
Grancia;1084
Gravesano;1031
Lamone;1643
Lugano;56193
Magliaso;527
Manno;5742
Maroggia;272
Massagno;1872
Melano;520
Melide;747
Mezzovico-Vira;2744
Miglieglia;57
Monteggio;741
Morcote;235
Muzzano;986
Neggio;103
Novaggio;340
Origlio;179
Paradiso;2963
Ponte Capriasca;228
Ponte Tresa;319
Porza;1096
Pura;179
Rovio;100
Savosa;1179
Sessa;108
Sorengo;1214
Capriasca;1427
Torricella-Taverne;1713
Vernate;60
Vezia;1106
Vico Morcote;149
Collina d'Oro;2257
Alto Malcantone;176
Monteceneri;2777
Balerna;4270
Castel San Pietro;1351
Chiasso;10631
Coldrerio;884
Mendrisio;16231
Morbio Inferiore;1594
Novazzano;1864
Riva San Vitale;918
Stabio;6223
Vacallo;540
Breggia;272
Biasca;3117
Riviera;1288
Bosco/Gurin;59
Campo (Vallemaggia);36
Cerentino;26
Cevio;631
Linescio;14
Maggia;654
Lavizzara;222
Avegno Gordevio;419
Terre di Pedemonte;641
Centovalli;403
Gambarogno;2158
Aigle;6058
Bex;2639
Chessel;122
Corbeyrier;104
Gryon;371
Lavey-Morcles;331
Leysin;1426
Noville;575
Ollon;2665
Ormont-Dessous;375
Ormont-Dessus;711
Rennaz;650
Roche (VD);590
Villeneuve (VD);2848
Yvorne;483
Apples;487
Aubonne;2962
Ballens;280
Berolle;46
Bière;544
Bougy-Villars;147
Féchy;223
Gimel;620
Longirod;66
Marchissy;77
Mollens (VD);53
Montherod;135
Saint-George;195
Saint-Livres;100
Saint-Oyens;42
Saubraz;43
Avenches;2640
Cudrefin;358
Faoug;151
Vully-les-Lacs;620
Bettens;92
Bournens;53
Boussens;98
La Chaux (Cossonay);80
Chavannes-le-Veyron;38
Chevilly;30
Cossonay;1329
Cottens (VD);103
Cuarnens;121
Daillens;1149
Dizy;60
Eclépens;1429
Ferreyres;51
Gollion;232
Grancy;82
L'Isle;333
Lussery-Villars;56
Mauraz;18
Mex (VD);1691
Moiry;54
Mont-la-Ville;68
Montricher;250
Orny;109
Pampigny;321
Penthalaz;1143
Penthaz;714
Pompaples;591
La Sarraz;581
Senarclens;113
Sévery;72
Sullens;103
Vufflens-la-Ville;389
Assens;385
Bercher;424
Bioley-Orjulaz;621
Bottens;242
Bretigny-sur-Morrens;120
Cugy (VD);1023
Echallens;2529
Essertines-sur-Yverdon;178
Etagnières;536
Fey;157
Froideville;248
Morrens (VD);134
Oulens-sous-Echallens;169
Pailly;159
Penthéréaz;114
Poliez-Pittet;251
Rueyres;79
Saint-Barthélemy (VD);335
Villars-le-Terroir;134
Vuarrens;159
Montilliez;247
Goumoëns;277
Bonvillars;131
Bullet;191
Champagne;430
Concise;183
Corcelles-près-Concise;125
Fiez;49
Fontaines-sur-Grandson;30
Giez;105
Grandevent;26
Grandson;1506
Mauborget;27
Mutrux;32
Novalles;29
Onnens (VD);111
Provence;138
Sainte-Croix;1579
Tévenon;134
Belmont-sur-Lausanne;522
Cheseaux-sur-Lausanne;2294
Crissier;9167
Epalinges;2969
Jouxtens-Mézery;121
Lausanne;119114
Le Mont-sur-Lausanne;8220
Paudex;1338
Prilly;6200
Pully;5729
Renens (VD);13283
Romanel-sur-Lausanne;1389
Chexbres;838
Forel (Lavaux);905
Lutry;2875
Puidoux;1904
Rivaz;132
Saint-Saphorin (Lavaux);68
Savigny;1485
Bourg-en-Lavaux;1869
Aclens;1545
Bremblens;382
Buchillon;96
Bussigny;6647
Bussy-Chardonney;75
Chavannes-près-Renens;3563
Chigny;59
Clarmont;47
Denens;112
Denges;949
Echandens;1380
Echichens;781
Ecublens (VD);15918
Etoy;2734
Lavigny;831
Lonay;1712
Lully (VD);207
Lussy-sur-Morges;257
Morges;10501
Préverenges;1521
Reverolle;82
Romanel-sur-Morges;457
Saint-Prex;2694
Saint-Sulpice (VD);1223
Tolochenaz;2328
Vaux-sur-Morges;75
Villars-Sainte-Croix;993
Villars-sous-Yens;89
Vufflens-le-Château;157
Vullierens;134
Yens;417
Boulens;70
Bussy-sur-Moudon;38
Chavannes-sur-Moudon;63
Curtilles;62
Dompierre (VD);73
Hermenches;63
Lovatens;34
Lucens;1249
Moudon;2574
Ogens;78
Prévonloup;35
Rossenges;14
Syens;26
Villars-le-Comte;30
Vucherens;188
Montanaire;644
Arnex-sur-Nyon;21
Arzier-Le Muids;394
Bassins;211
Begnins;478
Bogis-Bossey;93
Borex;98
Chavannes-de-Bogis;1201
Chavannes-des-Bois;52
Chéserex;168
Coinsins;563
Commugny;253
Coppet;848
Crans-près-Céligny;301
Crassier;428
Duillier;253
Eysins;1769
Founex;864
Genolier;1069
Gingins;294
Givrins;161
Gland;6241
Grens;132
Mies;824
Nyon;15823
Prangins;1723
La Rippe;183
Saint-Cergue;321
Signy-Avenex;664
Tannay;159
Trélex;188
Le Vaud;212
Vich;664
L'Abergement;37
Agiez;61
Arnex-sur-Orbe;172
Ballaigues;1076
Baulmes;360
Bavois;219
Bofflens;67
Bretonnières;46
Chavornay;2025
Les Clées;32
Croy;101
Juriens;60
Lignerolle;75
Montcherand;108
Orbe;4588
La Praz;26
Premier;41
Rances;87
Romainmôtier-Envy;164
Sergey;42
Valeyres-sous-Rances;173
Vallorbe;1492
Vaulion;161
Vuiteboeuf;169
Corcelles-le-Jorat;68
Essertes;59
Maracon;81
Montpreveyres;119
Ropraz;105
Servion;602
Vulliens;98
Jorat-Menthue;323
Oron;2230
Jorat-Mézières;820
Champtauroz;27
Chevroux;94
Corcelles-près-Payerne;691
Grandcour;214
Henniez;318
Missy;91
Payerne;6645
Trey;105
Treytorrens (Payerne);28
Villarzel;120
Valbroye;1188
Château-d'Oex;1702
Rossinière;158
Rougemont;343
Allaman;403
Bursinel;97
Bursins;422
Burtigny;131
Dully;109
Essertines-sur-Rolle;124
Gilly;322
Luins;155
Mont-sur-Rolle;473
Perroy;328
Rolle;4358
Tartegnin;95
Vinzel;103
L'Abbaye;1258
Le Chenit;5624
Le Lieu;629
Blonay;1735
Chardonne;663
Corseaux;406
Corsier-sur-Vevey;1559
Jongny;188
Montreux;12682
Saint-Légier-La Chiésaz;2569
La Tour-de-Peilz;3451
Vevey;14333
Veytaux;226
Belmont-sur-Yverdon;66
Bioley-Magnoux;42
Chamblon;266
Champvent;230
Chavannes-le-Chêne;63
Chêne-Pâquier;48
Cheseaux-Noréaz;262
Cronay;60
Cuarny;55
Démoret;49
Donneloye;156
Ependes (VD);66
Mathod;160
Molondin;104
Montagny-près-Yverdon;1554
Oppens;172
Orges;116
Orzens;81
Pomy;206
Rovray;36
Suchy;95
Suscévaz;38
Treycovagnes;84
Ursins;28
Valeyres-sous-Montagny;93
Valeyres-sous-Ursins;45
Villars-Epeney;22
Vugelles-La Mothe;23
Yverdon-les-Bains;18559
Yvonand;996
Brig-Glis;9534
Eggerberg;66
Naters;2343
Ried-Brig;379
Simplon;165
Termen;154
Zwischbergen;47
Ardon;782
Chamoson;1095
Conthey;3671
Nendaz;2273
Vétroz;1556
Bagnes;5461
Bourg-Saint-Pierre;164
Liddes;182
Orsières;1257
Sembrancher;578
Vollèges;534
Bellwald;185
Binn;69
Ernen;214
Fiesch;710
Fieschertal;243
Lax;88
Obergoms;390
Goms;573
Ayent;1037
Evolène;612
Hérémence;410
Saint-Martin (VS);216
Vex;598
Mont-Noble;183
Agarn;205
Albinen;81
Ergisch;52
Inden;28
Leuk;1533
Leukerbad;1024
Oberems;29
Salgesch;941
Varen;183
Guttet-Feschel;92
Gampel-Bratsch;726
Turtmann-Unterems;521
Bovernier;95
Charrat;741
Fully;2403
Isérables;233
Leytron;1499
Martigny;13087
Martigny-Combe;600
Riddes;1190
Saillon;748
Saxon;1913
Trient;65
Champéry;590
Collombey-Muraz;2890
Monthey;11248
Port-Valais;837
Saint-Gingolph;177
Troistorrents;925
Val-d'Illiez;531
Vionnaz;930
Vouvry;1586
Bister;12
Bitsch;311
Grengiols;168
Riederalp;422
Ausserberg;141
Blatten;76
Bürchen;184
Eischoll;88
Ferden;101
Kippel;125
Niedergesteln;119
Raron;1054
Unterbäch;158
Wiler (Lötschen);230
Mörel-Filet;364
Steg-Hohtenn;955
Bettmeralp;564
Collonges;94
Dorénaz;146
Evionnaz;644
Finhaut;101
Massongex;316
Saint-Maurice;1883
Salvan;294
Vernayaz;741
Vérossaz;96
Chalais;981
Chippis;472
Grône;476
Icogne;129
Lens;1663
Miège;241
Saint-Léonard;599
Sierre;11048
Venthône;202
Veyras;168
Anniviers;1427
Crans-Montana;4491
Arbaz;174
Grimisuat;750
Savièse;1539
Sion;33553
Veysonnaz;261
Baltschieder;152
Eisten;35
Embd;70
Grächen;559
Lalden;319
Randa;101
Saas-Almagell;176
Saas-Balen;111
Saas-Fee;1504
Saas-Grund;518
St. Niklaus;1152
Stalden (VS);357
Staldenried;81
Täsch;245
Törbel;165
Visp;9573
Visperterminen;491
Zeneggen;61
Zermatt;6717
Boudry;3628
Corcelles-Cormondrèche;1511
Cortaillod;1961
Peseux;1891
Rochefort;236
Milvignes;2540
La Grande Béroche;2970
La Chaux-de-Fonds;24933
Les Planchettes;53
La Sagne;340
Les Brenets;762
La Brévine;311
Brot-Plamboz;116
Le Cerneux-Péquignot;114
La Chaux-du-Milieu;108
Le Locle;7829
Les Ponts-de-Martel;526
Cornaux;775
Cressier (NE);1137
Enges;46
Hauterive (NE);660
Le Landeron;1164
Lignières;286
Neuchâtel;31287
Saint-Blaise;1333
La Tène;4485
Valangin;117
Val-de-Ruz;6948
La Côte-aux-Fées;306
Les Verrières;196
Val-de-Travers;5398
Aire-la-Ville;433
Anières;390
Avully;215
Avusy;202
Bardonnex;474
Bellevue;1285
Bernex;2539
Carouge (GE);24731
Cartigny;290
Céligny;85
Chancy;130
Chêne-Bougeries;4649
Chêne-Bourg;2917
Choulex;147
Collex-Bossy;199
Collonge-Bellerive;4195
Cologny;1937
Confignon;1022
Corsier (GE);324
Dardagny;590
Genève;180100
Genthod;832
Le Grand-Saconnex;11865
Gy;107
Hermance;185
Jussy;354
Laconnex;111
Lancy;19542
Meinier;823
Meyrin;21158
Onex;4370
Perly-Certoux;1603
Plan-les-Ouates;14515
Pregny-Chambésy;719
Presinge;192
Puplinge;1040
Russin;136
Satigny;8698
Soral;160
Thônex;5898
Troinex;513
Vandoeuvres;501
Vernier;19703
Versoix;4332
Veyrier;2212
Boécourt;375
Bourrignon;97
Châtillon (JU);65
Courchapoix;133
Courrendlin;890
Courroux;829
Courtételle;872
Delémont;12835
Develier;562
Ederswiler;26
Mervelier;61
Mettembert;17
Movelier;70
Pleigne;85
Rossemaison;182
Saulcy;79
Soyhières;136
Haute-Sorne;3103
Val Terbi;915
Le Bémont (JU);102
Les Bois;494
Les Breuleux;1058
La Chaux-des-Breuleux;34
Les Enfers;44
Les Genevez (JU);381
Lajoux (JU);199
Montfaucon;207
Muriaux;197
Le Noirmont;1777
Saignelégier;1726
Saint-Brais;84
Soubey;53
Alle;1154
Beurnevésin;40
Boncourt;1552
Bonfol;334
Bure;252
Coeuve;156
Cornol;419
Courchavon;164
Courgenay;942
Courtedoux;228
Damphreux;55
Fahy;133
Fontenais;219
Grandfontaine;97
Lugnez;48
Porrentruy;6168
Vendlincourt;215
Basse-Allaine;456
Clos du Doubs;592
Haute-Ajoie;701
La Baroche;406
