NAME;KANTONSNUM
Matzingen;20
Therwil;13
Villarzel;22
Attiswil;2
Agarn;23
Büsingen am Hochrhein;
Muri bei Bern;2
Arnex-sur-Orbe;22
Brienzwiler;2
Deitingen;11
Balzers;
Schaan;
Trimbach;11
Maladers;18
Charrat;23
Urdorf;1
Seuzach;1
Zeneggen;23
Ried bei Kerzers;10
Büsserach;11
Obfelden;1
Uznach;17
Richterswil;1
Thierachern;2
Burgistein;2
Bonvillars;22
Hofstetten-Flüh;11
Soyhières;26
Wiedlisbach;2
Mauren;
Le Châtelard;10
Heiden;15
Collina d'Oro;21
Cologny;25
Bonstetten;1
Erschwil;11
Böttstein;19
Lengnau (BE);2
Aesch (BL);13
Felben-Wellhausen;20
Ruggell;
Fey;22
Bretzwil;13
Rechthalten;10
Lauwil;13
Ehrendingen;19
Hornussen;19
Mönchaltorf;1
Niedermuhlern;2
Bauen;4
Schlossrued;19
Corminboeuf;10
Mauensee;3
Münchenstein;13
Urtenen-Schönbühl;2
Oltingen;13
Champoz;2
Schlierbach;3
Schnottwil;11
Oberentfelden;19
Riedholz;11
Otelfingen;1
Neuendorf;11
Untereggen;17
Cuarnens;22
Gächlingen;14
Blauen;13
Wegenstetten;19
Tegerfelden;19
Gletterens;10
Tobel-Tägerschen;20
Rorschacherberg;17
Uerkheim;19
Villars-le-Terroir;22
Eiken;19
Froideville;22
Wengi;2
Dinhard;1
Schwanden bei Brienz;2
Les Enfers;26
Schupfart;19
Hellikon;19
Hildisrieden;3
St. Silvester;10
Les Clées;22
Gsteigwiler;2
Muhen;19
Romont (BE);2
Berg am Irchel;1
Walzenhausen;15
Adligenswil;3
Romainmôtier-Envy;22
Reinach (BL);13
Wangen bei Olten;11
La Sonnaz;10
Walperswil;2
Meinier;25
Wintersingen;13
Essertines-sur-Rolle;22
Gordola;21
Egerkingen;11
Doppleschwand;3
Lucens;22
Wolfhalden;15
Ormalingen;13
Grosshöchstetten;2
Koppigen;2
Arlesheim;13
Därligen;2
Döttingen;19
Steinerberg;5
Rubigen;2
Sagogn;18
Noréaz;10
Sorvilier;2
Collex-Bossy;25
Bottens;22
Wolfwil;11
Zeihen;19
Meisterschwanden;19
St. Margrethen;17
Zunzgen;13
Effingen;19
Niederweningen;1
Vullierens;22
Löhningen;14
Wald (AR);15
Thusis;18
Unterlangenegg;2
Breitenbach;11
Nyon;22
Corcelles (BE);2
La Neuveville;2
Veytaux;22
Altbüron;3
Dittingen;13
Waldstatt;15
Hindelbank;2
Corsier-sur-Vevey;22
Altnau;20
Oberwil bei Büren;2
La Chaux (Cossonay);22
Andelfingen;1
Rehetobel;15
Klingnau;19
Fahrni;2
Roggenburg;13
Moiry;22
Echallens;22
Linescio;21
Suchy;22
Massongex;23
Vulliens;22
Brüttelen;2
Möriken-Wildegg;19
Triesenberg;
Brütten;1
Schlieren;1
Mathod;22
Eschert;2
Grossdietwil;3
Cronay;22
Adlikon;1
Alchenstorf;2
Salenstein;20
Sant'Antonino;21
Bennwil;13
Hedingen;1
Commugny;22
Wollerau;5
Balgach;17
Bad Zurzach;19
Homberg;2
Rifferswil;1
Rüti bei Büren;2
Veyrier;25
Bodio;21
Monthey;23
Geuensee;3
Knonau;1
Belmont-sur-Yverdon;22
Rohrbachgraben;2
Roche (VD);22
Cheiry;10
Thalheim an der Thur;1
Wallisellen;1
Bioggio;21
Leibstadt;19
Courchapoix;26
Menziken;19
Fällanden;1
Moosseedorf;2
Arch;2
Stettfurt;20
Brugg;19
Bellevue;25
Valeyres-sous-Rances;22
Nuglar-St. Pantaleon;11
Diessbach bei Büren;2
Schafisheim;19
Luzern;3
Ettingen;13
Servion;22
Châtonnaye;10
Andwil (SG);17
Egliswil;19
Laufen-Uhwiesen;1
Solothurn;11
Schöftland;19
Subingen;11
Pregny-Chambésy;25
Herznach;19
Büren (SO);11
Udligenswil;3
Eschlikon;20
Lotzwil;2
Rupperswil;19
Autigny;10
Oberdorf (BL);13
Roggliswil;3
Brusino Arsizio;21
Courchavon;26
Hochfelden;1
Arconciel;10
Stüsslingen;11
Stabio;21
Niederwil (AG);19
Premier;22
Oetwil am See;1
Prangins;22
Hefenhofen;20
Gettnau;3
Stein am Rhein;14
Sursee;3
Lyssach;2
Eggerberg;23
Oberhallau;14
Neerach;1
Dulliken;11
Strengelbach;19
Rickenbach (ZH);1
Himmelried;11
Hölstein;13
Oberhünigen;2
Arbon;20
Krattigen;2
Safenwil;19
Gempen;11
Schmerikon;17
Fläsch;18
Ostermundigen;2
Pollegio;21
Bergdietikon;19
Muriaux;26
Wenslingen;13
Ponthaux;10
Dürrenäsch;19
Remaufens;10
Cheseaux-Noréaz;22
Hettlingen;1
Pully;22
Oulens-sous-Echallens;22
Dielsdorf;1
Duggingen;13
Plan-les-Ouates;25
Heimenhausen;2
Buchs (ZH);1
Avry;10
Gretzenbach;11
Dörflingen;14
Bister;23
Eclépens;22
Zetzwil;19
Aesch (LU);3
Bitsch;23
L'Abergement;22
Dornach;11
Bünzen;19
Trélex;22
Fisibach;19
Pailly;22
Altishofen;3
Beinwil am See;19
Lommiswil;11
Meltingen;11
Villnachern;19
Weesen;17
Ecublens (VD);22
Prez-vers-Noréaz;10
Jonen;19
Bleienbach;2
Ermensee;3
Burtigny;22
Auenstein;19
Schleinikon;1
Penthéréaz;22
Grancy;22
Damphreux;26
Benken (ZH);1
Gebenstorf;19
Derendingen;11
Berneck;17
Safnern;2
Pomy;22
Ependes (FR);10
Rovio;21
Estavayer;10
Bühler;15
Vernayaz;23
Opfikon;1
Lausen;13
Villaz-Saint-Pierre;10
Schelten;2
Dorf;1
Orny;22
Heiligenschwendi;2
Mandach;19
Saint-Prex;22
Birrwil;19
Neyruz (FR);10
Mühlau;19
Daillens;22
Mauborget;22
Rüdlingen;14
Siglistorf;19
Pont-la-Ville;10
Siselen;2
Härkingen;11
Thalwil;1
Lully (FR);10
Crissier;22
Molondin;22
Dietwil;19
Niederbuchsiten;11
Zumikon;1
Villars-sur-Glâne;10
Balm bei Günsberg;11
Agiez;22
Münsterlingen;20
Mammern;20
Gollion;22
Bretonnières;22
Eichberg;17
Heimberg;2
Däniken;11
La Folliaz;10
Lüscherz;2
Niederhünigen;2
Lax;23
Wahlen;13
Zäziwil;2
Zollikofen;2
Chancy;25
Vufflens-la-Ville;22
Neuenhof;19
Oberrüti;19
Berikon;19
La Tène;24
Weiningen (ZH);1
Melano;21
Büron;3
Hauenstein-Ifenthal;11
Tenero-Contra;21
Rodersdorf;11
Oberwil-Lieli;19
Chiasso;21
Assens;22
Grolley;10
Buchs (AG);19
Châtillon (JU);26
Genthod;25
Bellach;11
Morcote;21
Günsberg;11
Oberegg;16
Torricella-Taverne;21
Greppen;3
Aesch (ZH);1
Veltheim (AG);19
Novazzano;21
Wangen an der Aare;2
Giffers;10
Schönengrund;15
Melide;21
Lufingen;1
Avusy;25
Chavannes-sur-Moudon;22
Onnens (VD);22
Rumisberg;2
La Praz;22
Kappel (SO);11
Ueken;19
Miglieglia;21
Bottenwil;19
Lugnez;26
Beurnevésin;26
Maisprach;13
Wynau;2
Vuiteboeuf;22
Iffwil;2
Pierrafortscha;10
Fislisbach;19
Birr;19
Steinhausen;9
Ottenbach;1
Obermumpf;19
Ellikon an der Thur;1
Poliez-Pittet;22
Brügg;2
Fahrwangen;19
Bardonnex;25
Reute (AR);15
Pfungen;1
Rünenberg;13
Cottens (FR);10
Curtilles;22
Montherod;22
Oberweningen;1
Bellikon;19
Etoy;22
Buchberg;14
Russin;25
Hüntwangen;1
Windisch;19
Hermance;25
Kaiseraugst;19
Rudolfstetten-Friedlisberg;19
Billens-Hennens;10
Künten;19
Pfeffingen;13
Toffen;2
Ecublens (FR);10
Müntschemier;2
Mellingen;19
Lohn (SH);14
Genolier;22
Corcelles-Cormondrèche;24
Ependes (VD);22
Bussigny;22
Zufikon;19
Buchrain;3
Wisen (SO);11
Founex;22
Höri;1
Schluein;18
Begnins;22
Full-Reuenthal;19
Bannwil;2
Lancy;25
Hermenches;22
Gamprin;
Männedorf;1
Kriechenwil;2
Giez;22
Riniken;19
Echarlens;10
Treiten;2
Cornaux;24
Othmarsingen;19
Stetten (SH);14
Goldach;17
Amsoldingen;2
Presinge;25
Ropraz;22
Maschwanden;1
Loveresse;2
Kiesen;2
Donat;18
Tenniken;13
Saillon;23
Rümligen;2
Caslano;21
Au (SG);17
Zuchwil;11
Auswil;2
Füllinsdorf;13
Avully;25
Zwingen;13
Frenkendorf;13
Cheseaux-sur-Lausanne;22
Jens;2
Drei Höfe;11
Epalinges;22
Buttwil;19
Vinelz;2
Cuarny;22
Thörigen;2
Wallbach;19
Waltenschwil;19
Teuffenthal (BE);2
Botterens;10
Gurzelen;2
Luterbach;11
Dällikon;1
Steinach;17
Forst-Längenbühl;2
Rottenschwil;19
Le Pâquier (FR);10
Unterlunkhofen;19
Fulenbach;11
Lohn-Ammannsegg;11
Walterswil (SO);11
Kesswil;20
Granges (Veveyse);10
Binningen;13
Grimisuat;23
La Folliaz;10
Pompaples;22
Kehrsatz;2
Rorbas;1
Lüterkofen-Ichertswil;11
Vandoeuvres;25
Uebeschi;2
Fiez;22
Lausanne;22
Stetten (AG);19
Aarburg;19
Truttikon;1
Niederdorf;13
Meinisberg;2
Rebstein;17
Ponte Capriasca;21
Croglio;21
Wohlenschwil;19
Cartigny;25
Maracon;22
Ménières;10
Le Grand-Saconnex;25
Marbach (SG);17
Flerden;18
Uitikon;1
Oeschgen;19
Uttwil;20
Täuffelen;2
Kirchleerau;19
Lachen;5
Novaggio;21
Urmein;18
Niedergösgen;11
Bachenbülach;1
Crans-près-Céligny;22
Mont-Tramelan;2
Oberrohrdorf;19
Corsier (GE);25
Massonnens;10
Bioley-Magnoux;22
Saules (BE);2
Démoret;22
Interlaken;2
Bercher;22
Bettwil;19
Dietlikon;1
Morlon;10
Dotzigen;2
Elfingen;19
Widnau;17
Sommeri;20
Grub (AR);15
Olsberg;19
Bofflens;22
Ittigen;2
Masein;18
Orzens;22
Villars-le-Comte;22
Egolzwil;3
Croy;22
Rüfenach;19
Cressier (FR);10
Suscévaz;22
Biezwil;11
Wileroltigen;2
Schwadernau;2
Trasadingen;14
Chêne-Bougeries;25
Laupen;2
Abtwil;19
Niederried bei Interlaken;2
Montpreveyres;22
Saint-Barthélemy (VD);22
Bossonnens;10
Biel-Benken;13
Duillier;22
Biberstein;19
Fétigny;10
Rohrbach;2
Koblenz;19
Corcelles-près-Concise;22
La Chaux-des-Breuleux;26
Orges;22
Schöfflisdorf;1
Lampenberg;13
Lavigny;22
Chavannes-le-Chêne;22
Büttenhardt;14
Freienwil;19
Granges-Paccot;10
Nuvilly;10
Rütschelen;2
Häfelfingen;13
Senarclens;22
Orpund;2
Boppelsen;1
Castaneda;18
Givrins;22
Bözen;19
Wasterkingen;1
Cademario;21
Anwil;13
Mönthal;19
Winznau;11
Chénens;10
Rietheim;19
Bettenhausen;2
Gunzgen;11
Champagne;22
Oeschenbach;2
Bournens;22
Choulex;25
Obersteckholz;2
Sullens;22
Aclens;22
Seftigen;2
Chevilly;22
Dottikon;19
Saint-Léonard;23
Remetschwil;19
Echandens;22
Rüeggisberg;2
Penthalaz;22
Mont-sur-Rolle;22
Bettwiesen;20
Matten bei Interlaken;2
Penthaz;22
Morges;22
Brione sopra Minusio;21
Laconnex;25
Wiler bei Utzenstorf;2
Thônex;25
Aeschi (SO);11
Belprahon;2
Moosleerau;19
Allmendingen;2
Uttigen;2
Astano;21
Buch (SH);14
Bellmund;2
Schwarzhäusern;2
Trey;22
Mattstetten;2
Etagnières;22
Seegräben;1
Wettswil am Albis;1
Valangin;24
Wislikofen;19
Leutwil;19
Bettens;22
Lussery-Villars;22
Cortaillod;24
Nebikon;3
Dintikon;19
Lonay;22
Schönenwerd;11
Titterten;13
Saubraz;22
Evilard;2
Bissone;21
Vaduz;
Farnern;2
Humlikon;1
Morrens (VD);22
Nenzlingen;13
Zullwil;11
Obergösgen;11
Büetigen;2
Tentlingen;10
Niederglatt;1
Oppens;22
Biglen;2
Staufen;19
Berlingen;20
Sutz-Lattrigen;2
Teufenthal (AG);19
Finsterhennen;2
Seltisberg;13
Schellenberg;
Chessel;22
Rebévelier;2
Alberswil;3
Hirschthal;19
Faoug;22
Montagny-près-Yverdon;22
Hendschiken;19
Wachseldorn;2
Vallon;10
Stettlen;2
Chevroux;22
Mägenwil;19
Lovatens;22
Zuzwil (BE);2
Arboldswil;13
Uetikon am See;1
Givisiez;10
Mies;22
Grandevent;22
Planken;
Troinex;25
Corserey;10
Schaan;
Boulens;22
Hermrigen;2
Epsach;2
Peseux;24
Ogens;22
Oppligen;2
Hemmiken;13
Courgevaux;10
Grossdietwil;3
Inkwil;2
Arni (AG);19
Bursins;22
Etziken;11
Recherswil;11
Ursins;22
Monteggio;21
Unterengstringen;1
Niederrohrdorf;19
Kernenried;2
Niederlenz;19
Ederswiler;26
Grangettes;10
Denens;22
Lützelflüh;2
Grellingen;13
Tägerig;19
Tschugg;2
Gy;25
La Tour-de-Peilz;22
Geltwil;19
Vucherens;22
Hunzenschwil;19
Oberlunkhofen;19
Brünisried;10
Mutrux;22
Murten;10
Dompierre (VD);22
Wittinsburg;13
Hausen (AG);19
Volken;1
Rovray;22
Ammerswil;19
Mülligen;19
Graben;2
Boussens;22
Ferreyres;22
Mumpf;19
Itingen;13
Bussy-sur-Moudon;22
Bioley-Orjulaz;22
Missy;22
Lupsingen;13
Rothenbrunnen;18
Le Vaud;22
Fräschels;10
Flumenthal;11
Rekingen (AG);19
Grindel;11
Treytorrens (Payerne);22
Montcherand;22
Walliswil bei Wangen;2
Fischbach-Göslikon;19
Häutligen;2
Vugelles-La Mothe;22
Bussy-Chardonney;22
Lüterswil-Gächliwil;11
Saint-Oyens;22
Champtauroz;22
Pura;21
Villars-sous-Yens;22
Dizy;22
Agno;21
Henggart;1
Kleinbösingen;10
Birrhard;19
Bottmingen;13
Bühl;2
Wauwil;3
Freimettigen;2
Renens (VD);22
Mötschwil;2
Soral;25
Rümikon;19
Rüschlikon;1
Altwis;3
Aire-la-Ville;25
Mühlethurnen;2
Matran;10
Wangenried;2
Perroy;22
Coinsins;22
Cugy (VD);22
Bremblens;22
Rickenbach (BL);13
Erlenbach (ZH);1
Dättlikon;1
Romanel-sur-Lausanne;22
Comunanza Cadenazzo/Monteceneri;21
Unterentfelden;19
Valeyres-sous-Ursins;22
Sessa;21
Bretigny-sur-Morrens;22
Dänikon;1
Diemerswil;2
Busswil bei Melchnau;2
Holziken;19
Erlach;2
Chamblon;22
Chavannes-de-Bogis;22
Burg im Leimental;13
Ulmiz;10
San Vittore;18
Stein (AG);19
Mex (VD);22
Lichtensteig;17
Baldingen;19
Büttikon;19
Onex;25
Hilterfingen;2
Niederönz;2
Oberrieden;1
Boniswil;19
Dierikon;3
Confignon;25
Schwaderloch;19
Berg (SG);17
Oetwil an der Limmat;1
Rolle;22
Herbligen;2
Boningen;11
Rickenbach (SO);11
Worben;2
Bäriswil;2
Studen (BE);2
Rüdtligen-Alchenflüh;2
Oberhofen am Thunersee;2
Salmsach;20
Dachsen;1
Horrenbach-Buchen;2
Mellikon;19
Féchy;22
Carouge (GE);25
Kallern;19
Puplinge;25
Witterswil;11
Luins;22
Belmont-sur-Lausanne;22
Chavannes-le-Veyron;22
Campione d'Italia;
Horriwil;11
Höchstetten;2
Schwerzenbach;1
Widen;19
Henniez;22
Allaman;22
Böbikon;19
Aranno;21
Kilchberg (ZH);1
Staatswald Galm;10
Miège;23
Grens;22
Perly-Certoux;25
Balerna;21
Syens;22
Sisseln;19
Birsfelden;13
Feldbrunnen-St. Niklaus;11
Muntelier;10
Venthône;23
Sévaz;10
Feuerthalen;1
Bedigliora;21
Münchenwiler;2
Greng;10
Münchwilen (AG);19
Eggenwil;19
Coldrerio;21
Zwieselberg;2
Port;2
Wolfisberg;2
Bogis-Bossey;22
Vico Morcote;21
Uezwil;19
Rumendingen;2
Bottighofen;20
Killwangen;19
Flurlingen;1
Fiez;22
Lützelflüh;2
Vevey;22
Oekingen;11
Sévery;22
Eysins;22
Besenbüren;19
Regensberg;1
Manno;21
Cottens (VD);22
Tecknau;13
Mettembert;26
Mirchel;2
Lussy-sur-Morges;22
Holderbank (AG);19
Merzligen;2
Böckten;13
Rümlingen;13
Valeyres-sous-Montagny;22
Greifensee;1
Morbio Inferiore;21
Thürnen;13
Wilen (TG);20
Ramlinsburg;13
Baltschieder;23
Rohr (SO);11
Bettingen;12
Habsburg;19
Rheineck;17
Prilly;22
Paradiso;21
Montet (Glâne);10
Brenzikofen;2
Lac de Neuchâtel (BE);2
Rennaz;22
Hallwil;19
Jegenstorf;2
Curio;21
Willadingen;2
Jongny;22
Deisswil bei Münchenbuchsee;2
Aegerten;2
Mörigen;2
Oberengstringen;1
Hauterive (NE);24
Chexbres;22
Vufflens-le-Château;22
Chavannes-des-Bois;22
Bolken;11
Ennetbaden;19
Chêne-Pâquier;22
Scheuren;2
Vaux-sur-Morges;22
Buchillon;22
Treycovagnes;22
Origlio;21
Matten bei Interlaken;2
Comano;21
Novalles;22
Kaufdorf;2
Lully (VD);22
Arnex-sur-Nyon;22
Aefligen;2
Châtel-sur-Montsalvens;10
Crassier;22
Chapelle (Glâne);10
Rongellen;18
Reisiswil;2
Rueyres;22
Buckten;13
Bodensee (TG);20
Tübach;17
Borex;22
Chippis;23
Langendorf;11
Liedertswil;13
Signy-Avenex;22
Orselina;21
Jouxtens-Mézery;22
Geroldswil;1
Auboranges;10
Zielebach;2
Bremgarten bei Bern;2
Ipsach;2
Schinznach-Bad;19
Rossemaison;26
Bedano;21
Préverenges;22
Planken;
Coppet;22
Lamone;21
Gurbrü;2
Saint-Sulpice (VD);22
Gerlafingen;11
Meyriez;10
Halten;11
Starrkirch-Wil;11
Hagneck;2
Prévonloup;22
Monthey;23
Prévondavaux;10
Eppenberg-Wöschnau;11
Tannay;22
Lohnstorf;2
Crésuz;10
Rorschach;17
Ligerz;2
Balzers;
Bursinel;22
Ponte Capriasca;21
Bougy-Villars;22
Romanel-sur-Morges;22
Magliaso;21
Murten;10
Horn;20
Hitzkirch;3
Nusshof;13
Flerden;18
Muzzano;21
Gempenach;10
Bättwil;11
Islisberg;19
Essertes;22
Aeschi (SO);11
Denges;22
Augst;13
Dully;22
Villars-Sainte-Croix;22
Hersberg;13
Chavannes-près-Renens;22
Vacallo;21
Kilchberg (BL);13
Tolochenaz;22
Hüttikon;1
Unterramsern;11
Rickenbach (TG);20
Porza;21
Brunegg;19
Vich;22
Maroggia;21
Turgi;19
Nidau;2
Obergerlafingen;11
Vernate;21
Schwendibach;2
Känerkinden;13
Hellsau;2
Fehren;11
Walliswil bei Niederbipp;2
Sergey;22
Wiggiswil;2
Lutzenberg;15
Diepflingen;13
Veyras;23
Gamprin;
Villarsel-sur-Marly;10
Vezia;21
Berken;2
Eschen;
Gurmels;10
Hubersdorf;11
Schönenbuch;13
Giebenach;13
Fürstenau;18
Jaberg;2
Ferenbalm;2
Châtillon (FR);10
Dozwil;20
Lalden;23
Rüti bei Lyssach;2
Chêne-Bourg;25
Canobbio;21
Oberburg;2
Honau;3
Kirchenthurnen;2
Oberburg;2
Reverolle;22
Heimiswil;2
Wiliberg;19
Twann-Tüscherz;2
Leimbach (AG);19
Veysonnaz;23
Kriegstetten;11
Vaduz;
Vinzel;22
Tartegnin;22
Rossenges;22
Gisikon;3
Corseaux;22
Zug;9
Vaduz;
Cureglia;21
Hüniken;11
Ferpicloz;10
Clarmont;22
Clavaleyres;2
Berg (SG);17
Kammersrohr;11
Burg (AG);19
Mezzovico-Vira;21
Lavertezzo;21
Neggio;21
Chigny;22
Saint-Saphorin (Lavaux);22
Villars-Epeney;22
Sorengo;21
Lutzenberg;15
Muralto;21
Cadempino;21
Savosa;21
Massagno;21
Baden;19
Buchberg;14
Gravesano;21
Erlach;2
Entlebuch;3
Meienried;2
Céligny;25
Grancia;21
Curio;21
Ponte Tresa;21
Degersheim;17
Senèdes;10
Bielersee (NE);24
Mauraz;22
Paudex;22
Ferrera;18
Echarlens;10
Wittenbach;17
Olsberg;19
Glattfelden;1
Monthey;23
Mont-Tramelan;2
Gottlieben;20
Liddes;23
Kaiserstuhl;19
Mönchaltorf;1
Rivaz;22
Croy;22
Ebersecken;3
Bichelsee-Balterswil;20
Brissago;21
Grossdietwil;3
Buchberg;14
Planken;
Vaduz;
Saint-Brais;26
Schaan;
Ropraz;22
Vaduz;
Häggenschwil;17
Schaan;
Bedigliora;21
Comunanza Capriasca/Lugano;21
Gampelen;2
Häggenschwil;17
Maienfeld;18
Les Enfers;26
Vaduz;
Capriasca;21
Planken;
Planken;
La Tène;24
Turgi;19
Würenlos;19
Hersberg;13
Eschenz;20
Tenero-Contra;21
Montagny (FR);10
Olsberg;19
Schlatt-Haslen;16
Oberegg;16
